t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999948,19.999999999999897,49.999999999999986,-0.00000000000005332075885123838,-0.00000000000010587917211310275,-0.00000000000023929495085444295,79.99999999998384,0.5068009250849866,1.0136018504941888,4.3758609094917205,5.0009343977389555,361.61765079222954
1,9.998253824962337,19.996507649924965,49.95730004390599,-0.0315359859472712,-0.06307197189452363,-0.7147226179254467,79.97295229529833,-0.2611966859110914,-0.5223933718206165,3.8539998972477068,5.007561672590616,311.7348732452761
2,9.992728974361341,19.985457948720818,49.82912464991395,-0.0631092590079308,-0.12621851801562708,-1.4282164664684072,79.94586447178688,-0.3061831296800925,-0.6123662593725211,3.7939850289428225,4.86119518245657,308.21243849054525
3,9.983262419489702,19.966524838978415,49.61548639324449,-0.09423432059407284,-0.18846864118735254,-2.135966653387133,79.918230596584,-0.2775043651468457,-0.5550087302932852,3.876209989901474,5.0190532526344445,313.7240733045288
4,9.96982018142514,19.939640362848575,49.316457012016194,-0.13011804266951407,-0.26023608533882264,-2.855466205233072,79.89198328146905,-0.28285113941615764,-0.5657022788304528,3.919891859414436,5.088571247494135,317.2182201254542
5,9.952203445456878,19.904406890912707,48.932898160065236,-0.16474606949436382,-0.3294921389881088,-3.548350431119736,79.86342367584632,-0.31231563928609696,-0.6246312785730885,3.8764615478762803,4.936394333498245,314.57126393050237
6,9.930224993546137,19.860449987091165,48.46368211762513,-0.20214572343341963,-0.4042914468664085,-4.288417609771006,79.83891371129943,-0.3260793258847668,-0.652158651769452,3.802010342467066,4.7921787024667655,309.0799493136749
7,9.902929617227732,19.80585923445315,47.913083915890006,-0.26301110009625966,-0.5260222001922957,-4.834560169072436,79.80415212421721,-0.79123152392768,-1.582463047859513,7.164976348934103,8.199861127976675,588.9693635639558
8,9.864195928026417,19.7283918560497,47.324071981898925,-0.39420797541063735,-0.7884159508209867,-4.93528338744392,79.75326803430723,-1.3053369700314217,-2.6106739400550745,10.290510018055054,10.290842328914094,853.0771303858868
9,9.807570149930688,19.615140299858133,46.73816848907105,-0.5491417489864577,-1.0982834979720304,-4.841113151140422,79.69314269026297,-1.223715069979832,-2.447430139966959,10.601580596216216,12.015322681773693,872.5613220215715
10,9.733232512542674,19.466465025082478,46.16346528411217,-0.691388664420192,-1.3827773288423046,-4.753576592810822,79.62543380435127,-1.19450092568389,-2.389001851397347,10.590713348640419,12.552175715544504,869.6955520430045
11,9.641827616044344,19.283655232085955,45.60033345965228,-0.8324192104337281,-1.664838420870245,-4.643070126252853,79.56215212228143,-1.0737134381683708,-2.1474268763133755,10.792854881515224,10.80766772254125,879.6927042327779
12,9.535843317922952,19.071686635843374,45.05017273465673,-0.9221540855426165,-1.8443081710830518,-4.554074598938505,79.50498947277283,-0.3489903130067853,-0.6979806259718412,10.185106346778504,10.92409340009924,812.1401109225344
13,9.424720531345331,18.84944106268861,44.50531682764711,-0.9202751909332612,-1.840550381862986,-4.555824020066211,79.4413039672534,0.2739967272554251,0.5479934544879681,9.512118500315962,12.539384161857662,757.2209470868341
14,9.316540240895494,18.633080481789065,43.95728279275425,-0.8884601938343563,-1.7769203876696087,-4.5902089314548995,79.37479718812352,0.15010250399991318,0.3002050079663801,9.653911198819895,11.667800238050177,766.7402253990472
15,9.210282027883212,18.42056405576441,43.407249207043876,-0.8920982872800589,-1.7841965745617085,-4.585117358395109,79.3170577452331,-0.17017511987287198,-0.34035023972373535,10.001621524289668,10.070758260036962,793.8731382642574
16,9.10212119086476,18.204242381727905,42.85935312845347,-0.911979528414794,-1.8239590568277262,-4.5638658284887335,79.26113992553955,-0.09572599852951541,-0.19145199703822385,9.902463442609802,11.149033274028808,785.0638843050128
17,8.992755025200262,17.985510050399515,42.3126357399654,-0.9094644609827137,-1.8189289219640672,-4.567914409814529,79.19634223151787,0.11514518313486445,0.23029036624258567,9.679732852785037,12.652819183212335,766.8705775429717
18,8.88470003207867,17.769400064156294,41.76443410829673,-0.8953103614048714,-1.7906207228119129,-4.582749242725499,79.13029953158076,0.07590729193421733,0.15181458384959481,9.739517932187892,11.52612042365701,770.8079964642586
19,8.777593606047887,17.55518721209422,41.21534007003532,-0.8958929388224272,-1.7917858776463127,-4.5808675844643965,79.07355142712237,-0.07451917482454018,-0.14903834962048998,9.89549677991576,9.891502977589733,782.5830009514563
20,8.6696385146204,17.3392770292391,40.66722342165899,-0.9060967350957618,-1.8121934701890872,-4.570260763117729,79.01919875951555,-0.06279599114252354,-0.12559198226058962,9.867768811566638,10.839181703271743,779.822124742983
21,8.560912536545239,17.12182507308906,40.11982278983645,-0.9066926274949094,-1.813385254987198,-4.570725254830428,78.95510103724527,0.04997840126064444,0.099956802500147,9.751250930649357,12.973953790749448,769.9615628489072
