t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999998822,19.999999999997645,49.99999999999948,-0.0000000000012469648736736247,-0.000000000002494012914405209,-0.000000000005276456839513682,79.99999999964363,-0.26949508239092484,-0.5389901647809457,3.8547730480489024,4.999999886869792,312.12728940858307
1,9.999999999997627,19.999999999995254,49.99999999999888,-0.003368688532365753,-0.0067373770647203715,-0.07444033690986683,79.99716847170558,-0.27002791938916804,-0.5400558387862294,3.855525961795877,5.000176857276078,312.19048305681883
2,9.999957891389792,19.99991578277959,49.99906949578699,-0.006744037525947843,-0.013488075051983302,-0.14887126239254522,79.99433694377144,-0.27057556544229083,-0.541151130885483,3.856297914858862,5.0003538261298175,312.25560970702253
3,9.999873590919542,19.99974718183908,49.997208605006556,-0.010126232095179233,-0.020252464190457425,-0.22329253846186142,79.99150541584926,-0.27113865443813756,-0.5422773088783783,3.857089794933592,5.000530793424574,312.32275888386243
4,9.99974701301717,19.99949402603434,49.99441744827526,-0.013515465276843967,-0.02703093055381326,-0.2977039160301687,79.98867388794724,-0.27171785685376676,-0.5434357137064547,3.857902545348985,5.00070775915398,312.3920256834571
5,9.999578069700032,19.99915613940006,49.99069614932435,-0.01691193848868933,-0.03382387697749058,-0.37210513421820873,79.98584236007306,-0.27231388238239584,-0.5446277647626788,3.8587371696028185,5.000884723311753,312.4635112211094
6,9.999366670467744,19.998733340935484,49.9860448351461,-0.020315862019627817,-0.04063172403934122,-0.44649591960300106,79.98301083223474,-0.2729274828700264,-0.5458549657402428,3.8595947360697793,5.001061685891665,312.53732310213246
7,9.999112722191319,19.998225444382633,49.98046363615054,-0.02372745555664695,-0.04745491111338193,-0.5208759854068815,79.98017930444064,-0.2735594554545118,-0.5471189109096963,3.8604763834162004,5.001238646887545,312.6135759563681
8,9.998816128995683,19.99763225799136,49.973952686332424,-0.027146948750957415,-0.05429389750201135,-0.5952450306188568,79.97734777669828,-0.27421064601451217,-0.5484212920349502,3.8613833263835065,5.001415606293323,312.6923920128791
9,9.998476792135117,19.996953584270226,49.966512123449164,-0.030574581827253144,-0.06114916365467696,-0.6696027390436661,79.97451624901603,-0.274881952953509,-0.5497639059135979,3.8623168621278805,5.001592564103024,312.7739017299178
10,9.998094609861099,19.996189219722183,49.95814208921059,-0.0340106062402716,-0.06802121248079618,-0.7439487782715957,79.97168472140184,-0.2755743313083329,-0.5511486626196297,3.8632783774422808,5.00176952031074,312.8582445070414
11,9.997669477281915,19.995338954563813,49.94884272948166,-0.03745528538271062,-0.07491057076571132,-0.8182827985580204,79.9688531938636,-0.2762887972535832,-0.5525775945050013,3.8642693564895345,5.001946474910702,312.9455694514639
12,9.997201286213452,19.994402572426885,49.93861419449916,-0.04090889534945051,-0.08181779069916414,-0.8926044316062797,79.96602166640928,-0.2770264330603251,-0.5540528661209774,3.865291389444056,5.002123427897241,313.0360362325991
13,9.996689925020405,19.99337985004079,49.92745663910355,-0.04437172576375995,-0.08874345152778718,-0.9669132892425328,79.9631901390472,-0.27778839253881826,-0.5555767850774831,3.866346182045437,5.002300379264766,313.1298160259089
14,9.996135278447179,19.992270556894333,49.9153702229875,-0.04784408067153582,-0.09568816134333706,-1.0412089619711935,79.96035861178518,-0.27857590699689433,-0.5571518139935007,3.867435566255914,5.002477329007927,313.22709256366903
15,9.995537227437605,19.991074454875182,49.90235511096234,-0.0513262795100229,-0.1026525590203077,-1.1154910173971486,79.95752708463128,-0.2793902918307382,-0.5587805836653468,3.8685615120053978,5.00265427712144,313.3280632941096
16,9.994895648942551,19.989791297885073,49.888411473244346,-0.05481865815891829,-0.10963731631814691,-1.1897589985011603,79.95469555759367,-0.2802329537973658,-0.5604659075970065,3.8697261403782033,5.002831223600193,313.4329406795311
17,9.994210415714386,19.988420831428737,49.87353948576256,-0.0583215700823818,-0.11664314016510242,-1.2640124217504372,79.95186403068021,-0.28110539900256465,-0.5622107980052373,3.8709317382748143,5.00300816843931,313.5419536383454
