t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000007,20.000000000000014,50,0.000000000000010479145852217104,0.000000000000020934247888570107,0.00000000000005811069460555258,79.99999999999947,-0.24456390023285765,-0.48912780046004334,3.827129680721232,5.0000000658666215,309.2802390018444
1,9.998096246752954,19.996192493489463,49.95728852482571,-0.03145510982613327,-0.06291021965249112,-0.7133661241461057,79.97278597932747,-0.2546788489714114,-0.5093576979404886,3.818569310686211,4.965528733353423,308.7589478628388
2,9.992463409993515,19.98492681996638,49.8287399271166,-0.0628337113155654,-0.12566742263113811,-1.431577710159864,79.94595344571742,-0.26585799388038156,-0.5317159877582884,3.8697640395803914,5.030789550523843,313.00118133747236
3,9.983033889932141,19.966067779818893,49.61497337698102,-0.0945851116855247,-0.18917022337007702,-2.1355627985823484,79.91813288354471,-0.2662747410067314,-0.5325494820050172,3.940007402745637,5.133150825281611,318.45314783877626
4,9.969771793056022,19.939543586049894,49.31646054758873,-0.12695542054622022,-0.25391084109147294,-2.8537400197942047,79.89132710285732,-0.2726564053972088,-0.5453128108009837,3.66450996169529,4.732393643033458,296.78677303564854
5,9.95259962456793,19.905199249079907,48.930153375755154,-0.1599274012336642,-0.319854802467246,-3.594450250513053,79.86591612122612,-0.28504263414664033,-0.570085268296782,3.7299694027613577,4.816910795501607,302.2153942685079
6,9.931192109344554,19.862384218638837,48.45797614536538,-0.20006272082001875,-0.40012544163882985,-4.264802039161663,79.83702168338056,-0.4173772017747884,-0.8347544035288049,4.904539409849512,6.023686162363967,398.5900824412949
7,9.903524236710084,19.807048473366034,47.91661289987892,-0.26878361988791855,-0.5375672397714149,-4.729701819325434,79.7994635432289,-0.7631654040790077,-1.5263308081301685,7.055928841788668,7.887708860720288,579.2926565132755
8,9.864775634122692,19.729551268186803,47.33583843603496,-0.38706183552808826,-0.7741236710497312,-4.920798336564889,79.7518285975444,-1.2067767603356778,-2.413553520666687,9.305761686180363,9.652886833236902,772.7238231373123
9,9.808919826894005,19.617839653731515,46.746861577896375,-0.5508842730677531,-1.101768546130261,-4.882334952901203,79.69584727691173,-1.476594115511295,-2.9531882310430193,10.779662997111995,10.968310090329915,898.4899545132321
