run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_limited_descent_short_1,coarse,26,1,252,0.691318,0.790185,Solved,12.500000
zoh_offset_limited_descent_short_1,fine,1,1,21,0.908353,0.919442,Solved,12.500000
zoh_offset_limited_descent_short_1,total,27,2,273,1.599672,1.718569,Solved,12.500000
zoh_offset_limited_descent_short_2,coarse,26,1,252,0.690302,0.792458,Solved,12.500000
zoh_offset_limited_descent_short_2,fine,1,1,21,0.930663,0.942277,Solved,12.500000
zoh_offset_limited_descent_short_2,total,27,2,273,1.620965,1.743323,Solved,12.500000
zoh_offset_limited_descent_short_3,coarse,26,1,252,0.689071,0.784856,Solved,12.500000
zoh_offset_limited_descent_short_3,fine,1,1,21,0.884515,0.895664,Solved,12.500000
zoh_offset_limited_descent_short_3,total,27,2,273,1.573586,1.688870,Solved,12.500000
zoh_offset_limited_descent_short_4,coarse,26,1,252,0.689481,0.793690,Solved,12.500000
zoh_offset_limited_descent_short_4,fine,1,1,21,0.906518,0.919348,Solved,12.500000
zoh_offset_limited_descent_short_4,total,27,2,273,1.595999,1.721185,Solved,12.500000
zoh_offset_limited_descent_short_5,coarse,26,1,252,0.688667,0.783982,Solved,12.500000
zoh_offset_limited_descent_short_5,fine,1,1,21,0.898586,0.910768,Solved,12.500000
zoh_offset_limited_descent_short_5,total,27,2,273,1.587253,1.703127,Solved,12.500000
zoh_offset_limited_descent_short_6,coarse,26,1,252,0.689748,0.787884,Solved,12.500000
zoh_offset_limited_descent_short_6,fine,1,1,21,0.905517,0.918234,Solved,12.500000
zoh_offset_limited_descent_short_6,total,27,2,273,1.595265,1.715210,Solved,12.500000
zoh_offset_limited_descent_short_7,coarse,26,1,252,0.691717,0.788037,Solved,12.500000
zoh_offset_limited_descent_short_7,fine,1,1,21,0.898469,0.909454,Solved,12.500000
zoh_offset_limited_descent_short_7,total,27,2,273,1.590187,1.705469,Solved,12.500000
zoh_offset_limited_descent_short_8,coarse,26,1,252,0.676841,0.774186,Solved,12.500000
zoh_offset_limited_descent_short_8,fine,1,1,21,0.885117,0.896241,Solved,12.500000
zoh_offset_limited_descent_short_8,total,27,2,273,1.561958,1.678715,Solved,12.500000
zoh_offset_limited_descent_short_9,coarse,26,1,252,0.701652,0.818048,Solved,12.500000
zoh_offset_limited_descent_short_9,fine,1,1,21,0.921025,0.932581,Solved,12.500000
zoh_offset_limited_descent_short_9,total,27,2,273,1.622676,1.760684,Solved,12.500000
zoh_offset_limited_descent_short_10,coarse,26,1,252,0.688593,0.780396,Solved,12.500000
zoh_offset_limited_descent_short_10,fine,1,1,21,0.902863,0.913493,Solved,12.500000
zoh_offset_limited_descent_short_10,total,27,2,273,1.591456,1.702101,Solved,12.500000
zoh_offset_limited_descent_short_1,coarse,26,1,252,0.689495,0.791324,Solved,12.500000
zoh_offset_limited_descent_short_1,fine,1,1,21,0.909055,0.922389,Solved,12.500000
zoh_offset_limited_descent_short_1,total,27,2,273,1.598550,1.724203,Solved,12.500000
zoh_offset_limited_descent_short_2,coarse,26,1,252,0.683182,0.785414,Solved,12.500000
zoh_offset_limited_descent_short_2,fine,1,1,21,0.919277,0.933718,Solved,12.500000
zoh_offset_limited_descent_short_2,total,27,2,273,1.602459,1.727892,Solved,12.500000
zoh_offset_limited_descent_short_3,coarse,26,1,252,0.688234,0.791109,Solved,12.500000
zoh_offset_limited_descent_short_3,fine,1,1,21,0.926876,0.939664,Solved,12.500000
zoh_offset_limited_descent_short_3,total,27,2,273,1.615111,1.739401,Solved,12.500000
zoh_offset_limited_descent_short_4,coarse,26,1,252,0.706323,0.813010,Solved,12.500000
zoh_offset_limited_descent_short_4,fine,1,1,21,0.909940,0.923232,Solved,12.500000
zoh_offset_limited_descent_short_4,total,27,2,273,1.616263,1.745212,Solved,12.500000
zoh_offset_limited_descent_short_5,coarse,26,1,252,0.694789,0.791931,Solved,12.500000
zoh_offset_limited_descent_short_5,fine,1,1,21,0.894567,0.907224,Solved,12.500000
zoh_offset_limited_descent_short_5,total,27,2,273,1.589357,1.707383,Solved,12.500000
zoh_offset_limited_descent_short_6,coarse,26,1,252,0.707053,0.815082,Solved,12.500000
zoh_offset_limited_descent_short_6,fine,1,1,21,0.913107,0.925690,Solved,12.500000
zoh_offset_limited_descent_short_6,total,27,2,273,1.620160,1.750382,Solved,12.500000
zoh_offset_limited_descent_short_7,coarse,26,1,252,0.685054,0.783620,Solved,12.500000
zoh_offset_limited_descent_short_7,fine,1,1,21,0.892431,0.906244,Solved,12.500000
zoh_offset_limited_descent_short_7,total,27,2,273,1.577485,1.697864,Solved,12.500000
zoh_offset_limited_descent_short_8,coarse,26,1,252,0.678412,0.776745,Solved,12.500000
zoh_offset_limited_descent_short_8,fine,1,1,21,0.905133,0.916896,Solved,12.500000
zoh_offset_limited_descent_short_8,total,27,2,273,1.583544,1.702871,Solved,12.500000
zoh_offset_limited_descent_short_9,coarse,26,1,252,0.686639,0.789967,Solved,12.500000
zoh_offset_limited_descent_short_9,fine,1,1,21,0.909471,0.920899,Solved,12.500000
zoh_offset_limited_descent_short_9,total,27,2,273,1.596109,1.719947,Solved,12.500000
zoh_offset_limited_descent_short_10,coarse,26,1,252,0.681761,0.773935,Solved,12.500000
zoh_offset_limited_descent_short_10,fine,1,1,21,0.906557,0.918406,Solved,12.500000
zoh_offset_limited_descent_short_10,total,27,2,273,1.588318,1.700670,Solved,12.500000
zoh_offset_limited_descent_short_1,coarse,26,1,252,0.684727,0.782170,Solved,12.500000
zoh_offset_limited_descent_short_1,fine,1,1,21,0.901488,0.914059,Solved,12.500000
zoh_offset_limited_descent_short_1,total,27,2,273,1.586214,1.704955,Solved,12.500000
zoh_offset_limited_descent_short_2,coarse,26,1,252,0.697909,0.795838,Solved,12.500000
zoh_offset_limited_descent_short_2,fine,1,1,21,0.922251,0.933886,Solved,12.500000
zoh_offset_limited_descent_short_2,total,27,2,273,1.620161,1.738438,Solved,12.500000
zoh_offset_limited_descent_short_3,coarse,26,1,252,0.714230,0.818393,Solved,12.500000
zoh_offset_limited_descent_short_3,fine,1,1,21,0.937737,0.949582,Solved,12.500000
zoh_offset_limited_descent_short_3,total,27,2,273,1.651967,1.776774,Solved,12.500000
zoh_offset_limited_descent_short_4,coarse,26,1,252,0.691142,0.801518,Solved,12.500000
zoh_offset_limited_descent_short_4,fine,1,1,21,0.900287,0.912103,Solved,12.500000
zoh_offset_limited_descent_short_4,total,27,2,273,1.591429,1.722792,Solved,12.500000
zoh_offset_limited_descent_short_5,coarse,26,1,252,0.694765,0.802351,Solved,12.500000
zoh_offset_limited_descent_short_5,fine,1,1,21,0.883595,0.895613,Solved,12.500000
zoh_offset_limited_descent_short_5,total,27,2,273,1.578360,1.707139,Solved,12.500000
zoh_offset_limited_descent_short_6,coarse,26,1,252,0.691419,0.792504,Solved,12.500000
zoh_offset_limited_descent_short_6,fine,1,1,21,0.886194,0.898336,Solved,12.500000
zoh_offset_limited_descent_short_6,total,27,2,273,1.577613,1.699770,Solved,12.500000
zoh_offset_limited_descent_short_7,coarse,26,1,252,0.693847,0.810373,Solved,12.500000
zoh_offset_limited_descent_short_7,fine,1,1,21,0.877955,0.889501,Solved,12.500000
zoh_offset_limited_descent_short_7,total,27,2,273,1.571803,1.710404,Solved,12.500000
zoh_offset_limited_descent_short_8,coarse,26,1,252,0.684076,0.779939,Solved,12.500000
zoh_offset_limited_descent_short_8,fine,1,1,21,0.889105,0.901110,Solved,12.500000
zoh_offset_limited_descent_short_8,total,27,2,273,1.573180,1.690044,Solved,12.500000
zoh_offset_limited_descent_short_9,coarse,26,1,252,0.680239,0.786045,Solved,12.500000
zoh_offset_limited_descent_short_9,fine,1,1,21,0.887763,0.901769,Solved,12.500000
zoh_offset_limited_descent_short_9,total,27,2,273,1.568002,1.696493,Solved,12.500000
zoh_offset_limited_descent_short_10,coarse,26,1,252,0.679926,0.773010,Solved,12.500000
zoh_offset_limited_descent_short_10,fine,1,1,21,0.897339,0.910505,Solved,12.500000
zoh_offset_limited_descent_short_10,total,27,2,273,1.577265,1.692351,Solved,12.500000
