t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000007,20.000000000000014,50.000000000000014,0.000000000000005194430056590971,0.000000000000009836718806134196,0.000000000000026986223601225668,80.00000000000082,-0.23680733296757947,-0.47361466592579365,3.8191977762703364,4.999999995758636,308.4584662504389
1,9.998139093561464,19.99627818716803,49.955810775484956,-0.03022234948686609,-0.060444697838656906,-0.6936007197708747,79.96886397329436,-0.25137975884392516,-0.5027595008174747,4.631498975557373,6.030342908678809,373.09346140891745
2,9.99237394624676,19.98474789283696,49.83135039752905,-0.062995786180872,-0.1259915684653171,-1.2926559984517785,79.93227864555514,-0.2769021627620454,-0.553804299060701,5.341380648927516,6.941603914932893,429.8076969535241
3,9.982316000833176,19.96463200271167,49.63762031794891,-0.09936187152153926,-0.19872373555425313,-1.8091307528010685,79.89088928826529,-0.30839654367991914,-0.6167930568674663,5.961083804516825,7.745165813643723,479.41232107531977
4,9.967482998724382,19.934965999663408,49.38422470351902,-0.1398061290820742,-0.2796122468519958,-2.2535524369480373,79.84527918987197,-0.3418801845422255,-0.6837603386892354,6.5014997180400504,8.451559115640025,522.6903288073147
5,9.947360771550915,19.89472154695303,49.07953914614291,-0.18437415179975822,-0.36874828866939624,-2.63517095239176,79.79597414343709,-0.37424340605826756,-0.7484867847439248,6.972296937764016,9.07050927138826,560.3542116828869
6,9.921451509759567,19.842903025428416,48.73086043909341,-0.2327731064666406,-0.46554619489083354,-2.9621033315016367,79.74344674289325,-0.40313696531179866,-0.8062739082088106,7.382039151441058,9.610982079666027,593.0419881061972
7,9.889310251327002,19.77862051096704,48.34453924391186,-0.28445980681363203,-0.5689195931670259,-3.2414643042914264,79.68812048171317,-0.4268686429223716,-0.8537372695185163,7.738294347641143,10.081227327705824,621.3235462881487
8,9.850571191524203,19.701142394017353,47.92609733782334,-0.33871647037990604,-0.6774329186755039,-3.4794838050592176,79.63037365050981,-0.444308572447067,-0.8886171351456906,8.047735694018426,10.488820711907819,645.7090466558344
9,9.804965279356042,19.609930572487844,47.48033100332651,-0.394715219458498,-0.7894304160307597,-3.681612423538237,79.57054303234439,-0.4548028756806823,-0.909605748180453,8.316234545145134,10.840704086643028,666.656736668932
10,9.752330437750535,19.504660892133323,47.011401999807696,-0.45157233274813985,-0.9031446426043763,-3.8526157544878723,79.50892739638935,-0.4580951774816951,-0.916190357963137,8.548945982642747,11.143224087143992,684.5794065438633
