group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_1,cgl,0.108658,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_2,cgl,0.114545,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_3,cgl,0.117525,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_4,cgl,0.113718,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_5,cgl,0.112796,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_6,cgl,0.111157,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_7,cgl,0.116301,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_8,cgl,0.110872,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_9,cgl,0.115728,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,cgl_offset_limited_descent_ultra_short_10,cgl,0.110746,12.440000,0.100000,0.400000,0.010000,10,,
cgl_offset_limited_descent_ultra_short,set_1_avg,cgl,,12.440000,0.100000,0.400000,0.010000,10,0.113204,0.000902
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_1,zoh,0.121111,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_2,zoh,0.123663,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_3,zoh,0.124416,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_4,zoh,0.126240,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_5,zoh,0.122956,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_6,zoh,0.128270,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_7,zoh,0.121773,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_8,zoh,0.121769,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_9,zoh,0.127394,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,zoh_offset_limited_descent_ultra_short_10,zoh,0.121946,12.000000,0.050000,0.400000,0.010000,63,,
zoh_offset_limited_descent_ultra_short,set_1_avg,zoh,,12.000000,0.050000,0.400000,0.010000,63,0.123954,0.000807
