t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000009,20.000000000000018,50.000000000000014,0.000000000000008831488959273712,0.0000000000000176635156217349,0.000000000000041125276779183004,80.00000000000182,-0.2586302294103688,-0.5172604588207413,3.8423149690331853,4.9999999425583646,310.84743317923903
1,10.000000000000018,20.000000000000036,50.000000000000036,-0.10345209176413249,-0.20690418352826656,-2.3870740123866576,79.90944080764041,-0.2809806902590812,-0.5619613805182365,3.8726432854761565,5.005659059052374,313.5070172351919
2,9.95861916329437,19.91723832658874,49.045170395045375,-0.2158443678677615,-0.4316887357355542,-4.762016698196182,79.8188818044256,-1.1765771485321028,-2.3531542970639414,9.818676936743557,10.523829559017152,811.3623128629439
3,9.872281416147274,19.744562832294534,47.14036371576691,-0.6864752272806017,-1.3729504545611293,-4.758545923498759,79.62882633841961,-0.5464147851507543,-1.092829570304925,10.27600415344584,12.14987845270817,824.0298860938487
4,9.59769132523504,19.195382650470098,45.23694534636741,-0.9050411413409036,-1.8100822826830996,-4.572144262120423,79.40996793996344,0.000002055634691355467,0.000004111270917232721,9.809997964910096,12.160062836867574,779.0116238847028
5,9.235674868698686,18.47134973739687,43.40808764151925,-0.9050403190870269,-1.8100806381747325,-4.572145076156385,79.19152837243664,-0.000003183722304203836,-0.000006367444684817955,9.810003151010358,12.188430176630963,776.8691428671341
6,8.873658741063881,17.747317482126988,41.5792296110567,-0.9050415925759486,-1.8100831851526062,-4.572143815752243,78.97318220564195,-0.0000008888372217610086,-0.0000017776755910039838,9.81000087970574,12.21833464745314,774.7269869105252
7,8.511642104033507,17.02328420806596,39.75037208475581,-0.9050419481108375,-1.8100838962228427,-4.572143463869947,78.75490456183859,-0.00000016336345816861882,-0.0000003267295217039338,9.810000161693093,12.248419966310584,772.5856264857612
8,8.14962532478918,16.299250649576837,37.92151469920783,-0.9050420134562207,-1.8100840269146512,-4.5721433991927105,78.53669498742663,-0.00000003672760626998126,-0.00000007345069064144848,9.810000036351877,12.278428790945524,770.4449806816115
9,7.787608519406698,15.575217038810989,36.09265733953075,-0.9050420281472632,-1.8100840562949276,-4.57214338465196,78.31855762101847,-0.000000037065226736935645,-0.0000000741312975097779,9.810000036683492,12.308314989094443,768.3050531351894
10,7.425591708147799,14.851183416293031,34.263799985669976,-0.9050420429733538,-1.8100840859474467,-4.572143369978565,78.10049739311287,-0.000000034175580732624895,-0.00000006834792243859802,9.810000033822082,12.33806903570987,766.1658820679587
11,7.063574890958465,14.127149781914065,32.43494263767855,-0.9050420566435862,-1.8100841132866154,-4.572143356449732,77.88251936882806,-0.000000033548898133371226,-0.00000006709797402941255,9.810000033208498,12.367612055483766,764.0275175945648
12,6.701558068301036,13.403116136599433,30.606085295098666,-0.9050420700631454,-1.8100841401258052,-4.572143343166334,77.6646299656098,-0.000000032758062022965314,-0.0000000655176638542243,9.810000032427252,12.396951258328231,761.8900224810827
13,6.339541240275785,12.679082480549125,28.77722795783214,-0.9050420831663702,-1.8100841663328708,-4.572143330195433,77.44683542349647,-0.00000003068195538897473,-0.00000006136593957405988,9.810000030355619,12.426016635829248,759.753457855447
14,5.977524407009244,11.95504881401599,26.94837062575397,-0.9050420954391523,-1.8100841908792467,-4.572143318053186,77.22914315778553,-0.00000003431710818011173,-0.00000006863321742064742,9.810000033965684,12.45473543143936,757.6178970010167
15,5.61550756883359,11.231015137664304,25.1195132985327,-0.9050421091659956,-1.8100842183325336,-4.5721433044669135,77.01156178972553,-0.00000003361618281139395,-0.00000006723316092354724,9.810000033270082,12.483073822166624,755.4834237193885
16,5.253490725167198,10.506981450331304,23.29065597674594,-0.9050421226124687,-1.810084245225798,-4.572143291158881,76.79410045133527,-0.00000003368882727923104,-0.00000006737645775324506,9.81000003333946,12.51096110169532,753.3501279878728
17,4.891473876122217,9.782947752240998,21.46179866028239,-0.9050421360879998,-1.8100842721763812,-4.572143277823097,76.57676941693418,-0.000000039540347734675076,-0.00000007907920778570067,9.810000039145194,12.538349414513831,751.2181109777368
18,4.529457021687024,9.058914043370459,19.632941349153157,-0.9050421519041387,-1.810084303808064,-4.572143262165021,76.35957969055848,-0.00000003926526882716651,-0.00000007853037991725435,9.81000003886358,12.565184441538243,749.0874797319852
19,4.167440160925374,8.334880321847248,17.804084044287155,-0.9050421676102464,-1.8100843352202163,-4.572143246619588,76.14254310578863,-0.0000000347353002867081,-0.00000006946798753836868,9.810000034368862,12.591354966408428,746.9583504847191
20,3.8054232938812826,7.610846587759173,15.975226745639322,-0.9050421815043664,-1.8100843630074113,-4.572143232872045,75.92567329112822,-0.00000002237646687492419,-0.000000044754673322101495,9.81000002216258,12.616761547141161,744.8308566686767
21,3.443406421279543,6.886812842556223,14.14636945249051,-0.9050421904549532,-1.8100843809092806,-4.5721432240070135,75.7089854409493,-0.000000007793816399400653,-0.000000015589897289151915,9.810000007713048,12.641323398605133,742.7051477596598
22,3.0813895450975686,6.162779090192524,12.31751216288771,-0.9050421935724797,-1.8100843871452394,-4.572143220921795,75.49249597229603,-0.0000001317910285880452,-0.0000002635805501129274,9.810000130442189,12.664962624659587,740.5813953356308
23,2.7193726676685834,5.438745335334441,10.488654874518996,-0.9050422462888912,-1.8100844925774595,-4.57214316874492,75.27622245614161,-0.0000011816205617855377,-0.00000236324081491822,9.810001169485087,12.687660954979249,738.4598303291955
24,2.357355769153034,4.714711538303471,8.659797607021032,-0.9050427189371159,-1.8100854378737856,-4.572142700950885,75.0601825848838,-0.0000054107396309846314,-0.00001082148058915044,9.810005355256193,12.709553280082087,736.3407931247777
25,1.995338681578194,3.9906773631539703,6.830940526640684,-0.9050448832329682,-1.8100897664660212,-4.5721405588484085,74.84439157161626,-0.0000006900774853653434,-0.0000013801508101718859,9.810000684258673,12.731932801741664,734.2235325304886
26,1.6333207282850133,3.266641456567575,5.002084303101326,-0.9050451592639625,-1.810090318526345,-4.572140285144941,74.62884260186121,-1.0321767982771517,-2.064353596558081,11.142241619562299,12.995973039376652,849.1847183703571
27,1.271302664579435,2.54260532915705,3.1732281890433542,-1.317915878574823,-2.6358317571495773,-4.039243637320022,74.40946369014847,0.1957987845846826,0.3915975691744022,13.431677865851192,13.438811537041628,999.9747607213064
28,0.7441363131495123,1.4882726262972323,1.557530734115351,-1.23959636474095,-2.4791927294798164,-2.5905724909795507,74.1832876296024,1.5471298665201803,3.0942597330411434,13.028295366676405,13.479782381750534,999.9745769707351
29,0.2482977672531389,0.496595534505319,0.5213017377235358,-0.6207444181328806,-1.2414888362633643,-1.3032543443090077,73.95711266004197,1.5518610453322281,3.1037220906584637,13.06813586077268,13.521003552716559,999.9743866436291
30,-0.000000000000006674314015428157,-0.000000000000013348775557531825,-0.00000000000003361320354897581,0.000000000000005340296142814909,0.000000000000010680614742198345,0.000000000000031882036022846414,73.73093878902061,0,0,0,0,0
