run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_1,coarse,16,1,127,0.893287,0.989301,Solved,7.500000
cgl_1,fine,1,1,15,0.432676,0.445607,AlmostSolved,7.500000
cgl_1,total,17,2,142,1.325963,1.442613,AlmostSolved,7.500000
zoh_1,coarse,16,1,137,0.299189,0.385302,Solved,7.500000
zoh_1,fine,1,1,13,0.383424,0.394631,Solved,7.500000
zoh_1,total,17,2,150,0.682612,0.788094,Solved,7.500000
zoh_2,coarse,16,1,137,0.241238,0.335639,Solved,7.500000
zoh_2,fine,1,1,14,0.704194,0.750803,Solved,7.500000
zoh_2,total,17,2,151,0.945432,1.095683,Solved,7.500000
cgl_2,coarse,16,1,127,0.816728,0.920069,Solved,7.500000
cgl_2,fine,1,1,14,0.764107,0.778473,Solved,7.500000
cgl_2,total,17,2,141,1.580835,1.707997,Solved,7.500000
zoh_3,coarse,16,1,137,0.252855,0.376231,Solved,7.500000
zoh_3,fine,1,1,15,1.543960,1.563331,Solved,7.500000
zoh_3,total,17,2,152,1.796814,1.947495,Solved,7.500000
cgl_3,coarse,16,1,139,4.112539,4.295457,Solved,7.500000
cgl_3,fine,1,1,13,1.248947,1.269248,Solved,7.500000
cgl_3,total,17,2,152,5.361486,5.576947,Solved,7.500000
cgl_3,coarse,16,1,131,0.643847,0.782394,Solved,7.500000
cgl_3,fine,1,1,13,1.217595,1.242940,Solved,7.500000
cgl_3,total,17,2,144,1.861442,2.034877,Solved,7.500000
cgl_3,coarse,16,1,131,0.653821,0.817917,Solved,7.500000
cgl_3,fine,1,1,13,1.273244,1.292544,Solved,7.500000
cgl_3,total,17,2,144,1.927065,2.119580,Solved,7.500000
cgl_3,coarse,20,1,140,0.775836,0.923990,Solved,9.500000
cgl_3,fine,1,1,12,1.667437,1.697128,Solved,9.500000
cgl_3,total,21,2,152,2.443274,2.631573,Solved,9.500000
cgl_3,coarse,16,1,155,5.993679,6.194901,Solved,7.500000
cgl_3,fine,1,1,13,1.769424,1.791466,Solved,7.500000
cgl_3,total,17,2,168,7.763103,8.013642,Solved,7.500000
