t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.0000000000000013756412173849474,80.00000000000445,0,0,12.499981868644365,12.499982947984636,999.9985494916049
1,-0,-0,49.99847399700927,-0,-0,-0.12049153077750147,79.9721304200269,-0,-0,5.837006903022245,5.837006774609313,466.7978773110923
2,0,0,49.97711981412345,0,0,-0.4564975174935018,79.9540282781138,0,0,5.161145504386081,5.161145645773118,412.6543736051446
3,0,0,49.929880605678115,0,0,-0.802169820520175,79.93636781858038,0,0,5.235604081038602,5.235604184627459,418.5151735743622
4,-0,-0,49.856840994902285,-0,-0,-1.146080548925152,79.91863153288203,-0,-0,5.196268211455798,5.196268176500612,415.27864453736385
5,-0,-0,49.75784085164784,-0,-0,-1.4947127143767558,79.90111282397257,-0,-0,5.134596484092292,5.134596424981018,410.25997298103107
6,-0,-0,49.632574689138686,-0,-0,-1.8456783276966062,79.88370351885811,-0,-0,5.137160528418612,5.137160541806845,410.3754085809729
7,0,0,49.481042140985096,0,0,-2.1946702344336644,79.86620873695598,0,0,5.177674875742429,5.177674960152282,413.5212623981375
8,0,0,49.30344362075366,0,0,-2.5409982085652674,79.8485973245234,0,0,5.2006420183492414,5.200642113751311,415.2639703521652
9,0,0,49.09989709546259,0,0,-2.8871424112451756,79.83098148744678,0,0,5.182277056722721,5.1822771084426655,413.7062637780517
10,-0,-0,48.87030689926001,-0,-0,-3.235828659185542,79.81348443626631,-0,-0,5.137583469314002,5.13758346261009,410.0484382681122
11,-0,-0,48.614437048965875,-0,-0,-3.587865451041452,79.79614263044131,-0,-0,5.098156001884291,5.098155959846447,406.81318347859934
12,-0,-0,48.33207727084658,-0,-0,-3.9418572647826275,79.77889292057993,-0,-0,5.08792998499714,5.087929945976098,405.9094214604947
13,-0,-0,48.0231719330312,-0,-0,-4.2953261555842355,79.76162331900348,-0,-0,5.111057488585729,5.111057482467224,407.6662421663468
14,0,0,47.68784432012911,0,0,-4.646207295569582,79.74424059166363,0,0,5.153566995307669,5.153567030530674,410.96728637907177
15,0,0,47.32632295333305,0,0,-4.993859696075899,79.72671587321332,0,0,5.193468450267513,5.193468514121759,414.05818353097555
16,0,0,46.938823449114,0,0,-5.339223135277658,79.70909168104399,0,0,5.21233022071293,5.212330288884393,415.4701074346832
17,0,0,46.52544855527314,0,0,-5.684224196194895,79.69145503054087,0,0,5.203093377265957,5.20309342615251,414.64208189409504
18,0,0,46.08614928579526,0,0,-6.0308163362837055,79.673894072818,0,0,5.171900768929488,5.171900785143367,412.065474018814
19,-0,-0,45.620757725010634,-0,-0,-6.380096988810194,79.65645826553259,-0,-0,5.134487150970939,5.13448713508313,408.99506145622996
20,-0,-0,45.12907229667754,-0,-0,-6.731830908585786,79.6391369184211,-0,-0,5.1094168783194025,5.109416842753712,406.90955034577064
21,-0,-0,44.610958807034756,-0,-0,-7.084510196811002,79.62186196557465,-0,-0,5.110992628178055,5.110992591214222,406.9467495478627
22,-0,-0,44.06642850171797,-0,-0,-7.435881402179635,79.60453178983087,-0,-0,5.144213301510093,5.144213280201622,409.502691293731
23,-0,-0,43.49566541317649,-0,-0,-7.783727870041179,79.58704652108408,-0,-0,5.203135902520193,5.203135907068751,414.1022191293974
24,0,0,42.898993861819726,0,0,-8.126638337297074,79.56934266972402,0,0,5.272816918138281,5.272816949281399,419.55457619406303
25,0,0,42.276796635556714,0,0,-8.464519006362899,79.55141615765727,0,0,5.334009209907942,5.334009259648408,424.3279864461633
26,0,0,41.62940958105842,0,0,-8.798694037514387,79.53332677862424,0,0,5.369172489575369,5.369172544520086,427.0281501441973
27,0,0,40.95702564962642,0,0,-9.13155673717486,79.51518241777498,0,0,5.368183515929084,5.368183561868672,426.85209152119376
28,0,0,40.25963986049894,0,0,-9.46584844486036,79.4971065308978,0,0,5.3323584142760065,5.332358440504415,423.90706492062895
29,-0,-0,39.53705738987317,-0,-0,-9.803728576033828,79.47919626908897,-0,-0,5.275903171255173,5.27590317343107,419.3245436448988
30,-0,-0,38.788972825777876,-0,-0,-10.145842286883953,79.46148055444986,-0,-0,5.224537371117708,5.224537352042774,415.1494747210664
31,-0,-0,38.01511301588955,-0,-0,-10.490588025856596,79.44388720432713,-0,-0,5.211643641866769,5.211643610202396,414.0332296336122
32,-0,-0,37.21542223948549,-0,-0,-10.833742040842546,79.42622615325786,-0,-0,5.272765324298824,5.272765291786438,418.7958511008144
33,-0,-0,36.390259267070746,-0,-0,-11.1685239566801,79.40819253339372,-0,-0,5.439537524041082,5.4395375021137795,431.943843001674
34,-0,-0,35.540572699528276,-0,-0,-11.48610346224813,79.38938959338898,-0,-0,5.7341710577171945,5.734171054446906,455.23234009624576
35,0,0,34.6680240071012,0,0,-11.776469460485767,79.36936790056065,0,0,6.165437625467363,6.1654376436068254,489.34688716367816
36,0,0,33.77503598033781,0,0,-12.029523250330595,79.34767458458575,0,0,6.726782772531479,6.72678280906113,533.7545704360252
37,0,0,32.86475608477675,0,0,-12.2362250598626,79.32390493008037,0,0,7.396793514361435,7.396793561540909,586.7425455206416
38,0,0,31.940937266200972,0,0,-12.38962151333582,79.29774854709578,0,0,8.141845687535556,8.141845735090993,645.6300320394506
39,0,0,31.007750854863797,0,0,-12.485607970799869,79.26902353882664,0,0,8.920418491280278,8.920418529112462,707.1128633614809
40,0,0,30.069555488722656,0,0,-12.523327382953186,79.23769424438049,0,0,9.688338101963941,9.68833812268255,767.6815722596004
41,-0,-0,29.130651159946492,-0,-0,-12.50516688727789,79.20387083370501,-0,-0,10.404123054334324,10.404123055012176,824.0468185334682
42,-0,-0,28.19504808416538,-0,-0,-12.436374449343873,79.1677917983631,-0,-0,11.033651566920726,11.033651549684421,873.5098300256628
43,-0,-0,27.26627635528485,-0,-0,-12.324370840274744,79.12979277646427,-0,-0,11.553534288419451,11.55353425978853,914.2287740784058
44,-0,-0,26.347255181553365,-0,-0,-12.177869738761805,79.09026683395362,-0,-0,11.952818722812784,11.952818691996976,945.3516222051398
45,-0,-0,25.44023124549003,-0,-0,-12.005936437977656,79.04962210271407,-0,-0,12.232929228522844,12.232929205120206,967.0084327239763
46,-0,-0,24.54678593152531,-0,-0,-11.817112630071817,79.00824251324117,-0,-0,12.406013587673694,12.406013579333614,980.1773301574884
47,0,0,23.66790230463844,0,0,-11.618713356693833,78.96645636908582,0,0,12.492084324341848,12.492084334944998,986.4556317570814
48,0,0,22.80407600926461,0,0,-11.416367335819237,78.92451592012613,0,0,12.515482041887573,12.515482070658795,987.7783616630084
49,0,0,21.955450466152318,0,0,-11.213829975205828,78.8825891987969,0,0,12.501235154527311,12.501235196271717,986.1297971721361
50,0,0,21.12195614120538,0,0,-11.013056409413469,78.84076350117861,0,0,12.471846635316915,12.471846681706882,983.2899109979911
