t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,0.0000000000000032467689486612887,80.0000000000004,0,0,3.705904774556777,5.00000000006283,296.4723819645436
1,0,0,50.00000000000001,0,0,-0.006104095225436735,79.99977347410103,0,0,3.705915267947246,5.000014157726172,296.4723819499921
2,0,0,49.999993895904794,0,0,-0.012208179957486251,79.99954694820163,0,0,3.705925761033171,5.000028314978623,296.472381906323
3,0,0,49.999981687724826,0,0,-0.01831225419644985,79.9993204223023,0,0,3.7059362538145573,5.0000424718201755,296.4723818335374
4,0,0,49.999963375470635,0,0,-0.02441631794263206,79.99909389640315,0,0,3.7059467462913975,5.000056628250849,296.47238173163527
5,0,0,49.99993895915269,0,0,-0.03052037119633744,79.99886737050397,0,0,3.70595723846369,5.000070784270647,296.4723816006159
6,0,0,49.9999084387815,0,0,-0.03662441395787053,79.9986408446049,0,0,3.705967730331492,5.00008493987961,296.47238144048464
7,0,0,49.999871814367545,0,0,-0.04272844622753581,79.99841431870594,0,0,3.705978221894772,5.000099095077711,296.4723812512391
8,0,0,49.99982908592131,0,0,-0.048832468005637834,79.99818779280702,0,0,3.7059887131535554,5.000113249864982,296.47238103288134
9,0,0,49.99978025345331,0,0,-0.054936479292481064,79.99796126690849,0,0,3.7059992041078353,5.000127404241425,296.4723807854123
10,0,0,49.99972531697402,0,0,-0.06104048008837002,79.99773474101002,0,0,3.706009694757618,5.000141558207059,296.47238050883146
11,0,0,49.99966427649394,0,0,-0.0671444703936092,79.99750821511182,0,0,3.706020185102967,5.000155711761886,296.47238020314484
12,0,0,49.99959713202353,0,0,-0.07324845020850304,79.99728168921382,0,0,3.706030675143808,5.000169864905915,296.4723798683465
13,0,0,49.999523883573325,0,0,-0.07935241953335603,79.99705516331609,0,0,3.7060411648801814,5.000184017639178,296.4723795044401
14,0,0,49.99944453115381,0,0,-0.08545637836847267,79.99682863741864,0,0,3.706051654312112,5.000198169961666,296.4723791114279
15,0,0,49.99935907477543,0,0,-0.09156032671415736,79.99660211152154,0,0,3.7060621434395906,5.000212321873387,296.4723786893096
16,0,0,49.99926751444872,0,0,-0.09766426457071459,79.99637558562473,0,0,3.7060726322626336,5.000226473374378,296.47237823808655
17,0,0,49.999169850184146,0,0,-0.10376819193844877,79.99614905972821,0,0,3.7060831207812646,5.000240624464627,296.47237775776074
18,0,0,49.999066081992225,0,0,-0.10987210881766432,79.99592253383206,0,0,3.7060936089954826,5.000254775144157,296.4723772483327
19,0,0,49.9989562098834,0,0,-0.11597601520866568,79.99569600793626,0,0,3.706104096905259,5.000268925412976,296.47237670980024
20,0,0,49.99884023386818,0,0,-0.12207991111175724,79.99546948204106,0,0,3.7061145845106416,5.000283075271081,296.4723761421683
21,0,0,49.99871815395708,0,0,-0.12818379652724346,79.99524295614616,0,0,3.7061250718116274,5.000297224718499,296.47237554543574
22,0,0,49.99858997016056,0,0,-0.13428767145542866,79.99501643025162,0,0,3.706135558808212,5.000311373755237,296.4723749196027
23,0,0,49.998455682489094,0,0,-0.1403915358966173,79.9947899043577,0,0,3.7061460455004607,5.000325522381324,296.47237426467547
24,0,0,49.9983152909532,0,0,-0.14649538985111368,79.99456337846429,0,0,3.706156531888293,5.000339670596745,296.47237358064746
25,0,0,49.99816879556335,0,0,-0.15259923331922223,79.99433685257135,0,0,3.7061670179717576,5.000353818401504,296.47237286752267
26,0,0,49.998016196330035,0,0,-0.15870306630124734,79.99411032667909,0,0,3.7061775037509,5.000367965795638,296.4723721253056
27,0,0,49.99785749326373,0,0,-0.1648068887974933,79.99388380078723,0,0,3.706187989225679,5.000382112779142,296.47237135399223
28,0,0,49.99769268637493,0,0,-0.17091070080826448,79.9936572748959,0,0,3.7061984743961154,5.000396259352055,296.4723705535849
29,0,0,49.99752177567413,0,0,-0.1770145023338652,79.99343074900547,0,0,3.7062089592622383,5.000410405514334,296.4723697240875
30,0,0,49.997344761171796,0,0,-0.18311829337459987,79.99320422311546,0,0,3.7062194438240335,5.000424551266042,296.4723688654973
31,0,0,49.997161642878424,0,0,-0.1892220739307727,79.99297769722614,0,0,3.706229928081513,5.000438696607167,296.4723679778165
32,0,0,49.99697242080449,0,0,-0.19532584400268807,79.99275117133759,0,0,3.7062404120347017,5.00045284153773,296.4723670610476
33,0,0,49.996777094960485,0,0,-0.20142960359065026,79.99252464544959,0,0,3.7062508956835525,5.000466986057709,296.4723661151862
34,0,0,49.99657566535691,0,0,-0.2075333526949636,79.99229811956238,0,0,3.7062613790281493,5.0004811301671745,296.4723651402401
35,0,0,49.9963681320042,0,0,-0.21363709131593234,79.99207159367594,0,0,3.70627186206846,5.000495273866087,296.4723641362069
36,0,0,49.996154494912886,0,0,-0.2197408194538608,79.99184506779022,0,0,3.706282344804495,5.000509417154493,296.47236310308745
37,0,0,49.99593475409344,0,0,-0.22584453710905317,79.99161854190535,0,0,3.706292827236264,5.000523560032372,296.4723620408831
38,0,0,49.995708909556335,0,0,-0.23194824428181382,79.9913920160213,0,0,3.7063033093637854,5.000537702499745,296.4723609495956
39,0,0,49.99547696131205,0,0,-0.23805194097244692,79.99116549013809,0,0,3.7063137911870547,5.000551844556628,296.4723598292248
40,0,0,49.995238909371075,0,0,-0.24415562718125677,79.9909389642556,0,0,3.706324272706059,5.000565986203034,296.4723586797694
41,0,0,49.994994753743896,0,0,-0.25025930290854764,79.99071243837408,0,0,3.7063347539208586,5.000580127438963,296.47235750123536
42,0,0,49.994744494441,0,0,-0.2563629681546237,79.99048591249343,0,0,3.706345234831417,5.000594268264444,296.4723562936196
43,0,0,49.994488131472835,0,0,-0.26246662291978917,79.99025938661372,0,0,3.7063557154377746,5.000608408679482,296.47235505692584
44,0,0,49.99422566484992,0,0,-0.26857026720434835,79.99003286073504,0,0,3.70636619573991,5.000622548684088,296.47235379115295
45,0,0,49.99395709458271,0,0,-0.27467390100860534,79.98980633485718,0,0,3.706376675737868,5.000636688278263,296.4723524963038
46,0,0,49.993682420681715,0,0,-0.2807775243328644,79.98957980898028,0,0,3.706387155431671,5.000650827462032,296.472351172381
47,0,0,49.993401643157384,0,0,-0.2868811371774297,79.98935328310442,0,0,3.706397634821216,5.00066496623538,296.4723498193769
48,0,0,49.9931147620202,0,0,-0.2929847395426054,79.98912675722968,0,0,3.706408113906632,5.000679104598355,296.4723484373022
49,0,0,49.99282177728066,0,0,-0.29908833142869573,79.98890023135613,0,0,3.7064185926878594,5.00069324255094,296.4723470261526
50,0,0,49.99252268894923,0,0,-0.30519191283600483,79.98867370548354,0,0,3.706429071164936,5.000707380093166,296.4723455859305
51,0,0,49.9922174970364,0,0,-0.31129548376483684,79.98844717961208,0,0,3.7064395493378655,5.000721517225014,296.47234411663703
52,0,0,49.99190620155264,0,0,-0.3173990442154959,79.9882206537416,0,0,3.7064500272066745,5.0007356539465375,296.47234261827407
53,0,0,49.99158880250841,0,0,-0.32350259418828625,79.98799412787247,0,0,3.70646050477131,5.0007497902577045,296.47234109083877
54,0,0,49.99126529991424,0,0,-0.3296061336835119,79.98776760200433,0,0,3.7064709820318598,5.000763926158567,296.47233953433715
55,0,0,49.99093569378055,0,0,-0.335709662701477,79.98754107613732,0,0,3.706481458988285,5.000778061649125,296.47233794876684
56,0,0,49.99059998411785,0,0,-0.3418131812424857,79.9873145502716,0,0,3.70649193564058,5.000792196729355,296.4723363341281
57,0,0,49.990258170936606,0,0,-0.3479166893068421,79.98708802440724,0,0,3.706502411988789,5.000806331399304,296.472334690425
58,0,0,49.989910254247306,0,0,-0.3540201868948502,79.9868614985441,0,0,3.7065128880329006,5.000820465658967,296.4723330176563
59,0,0,49.989556234060416,0,0,-0.36012367400681433,79.98663497268225,0,0,3.7065233637729236,5.000834599508351,296.47233131582317
60,0,0,49.9891961103864,0,0,-0.3662271506430384,79.98640844682156,0,0,3.7065338392088742,5.000848732947495,296.4723295849266
61,0,0,49.98882988323576,0,0,-0.37233061680382645,79.98618192096238,0,0,3.706544314340773,5.000862865976387,296.47232782496985
62,0,0,49.988457552618975,0,0,-0.37843407248948274,79.98595539510443,0,0,3.7065547891686093,5.000876998595052,296.4723260359511
63,0,0,49.988079118546466,0,0,-0.3845375177003111,79.9857288692478,0,0,3.7065652636923945,5.000891130803489,296.4723242178718
64,0,0,49.98769458102878,0,0,-0.3906409524366157,79.98550234339254,0,0,3.7065757379121322,5.00090526260171,296.4723223707328
65,0,0,49.98730394007634,0,0,-0.3967443766987006,79.98527581753875,0,0,3.706586211827839,5.000919393989739,296.47232049453584
66,0,0,49.98690719569965,0,0,-0.40284779048686975,79.98504929168641,0,0,3.706596685439523,5.000933524967563,296.4723185892817
67,0,0,49.986504347909154,0,0,-0.4089511938014273,79.98482276583555,0,0,3.7066071587471803,5.000947655535203,296.4723166549705
68,0,0,49.98609539671535,0,0,-0.4150545866426771,79.9845962399862,0,0,3.7066176317508326,5.000961785692691,296.4723146916042
69,0,0,49.98568034212872,0,0,-0.4211579690109233,79.98436971413828,0,0,3.706628104450483,5.000975915439999,296.472312699183
70,0,0,49.98525918415971,0,0,-0.42726134090646983,79.98414318829182,0,0,3.7066385768461627,5.0009900447771845,296.4723106777097
71,0,0,49.9848319228188,0,0,-0.4333647023296207,79.98391666244693,0,0,3.706649048937842,5.001004173704204,296.47230862718254
72,0,0,49.984398558116474,0,0,-0.4394680532806799,79.98369013660358,0,0,3.7066595207255157,5.001018302221126,296.4723065476012
73,0,0,49.98395909006319,0,0,-0.4455713937599514,79.98346361076193,0,0,3.70666999220924,5.0010324303279186,296.4723044389709
74,0,0,49.98351351866943,0,0,-0.45167472376773926,79.98323708492184,0,0,3.706680463389007,5.001046558024613,296.4723023012909
75,0,0,49.98306184394566,0,0,-0.45777804330434724,79.98301055908354,0,0,3.7066909342648193,5.00106068531121,296.47230013456226
76,0,0,49.98260406590236,0,0,-0.4638813523700795,79.98278403324687,0,0,3.7067014048366875,5.001074812187729,296.4722979387856
77,0,0,49.98214018454999,0,0,-0.46998465096523984,79.98255750741177,0,0,3.7067118751046415,5.001088938654182,296.4722957139631
78,0,0,49.981670199899035,0,0,-0.47608793909013225,79.98233098157846,0,0,3.706722345068636,5.0011030647105805,296.4722934600923
79,0,0,49.98119411195994,0,0,-0.4821912167450607,79.98210445574688,0,0,3.7067328147287313,5.00111719035692,296.472291177178
80,0,0,49.9807119207432,0,0,-0.48829448393032904,79.98187792991688,0,0,3.7067432840848973,5.001131315593229,296.4722888652174
81,0,0,49.98022362625927,0,0,-0.4943977406462412,79.98165140408874,0,0,3.706753753137158,5.001145440419509,296.47228652421376
82,0,0,49.97972922851863,0,0,-0.5005009868931012,79.98142487826227,0,0,3.7067642218855386,5.00115956483579,296.4722841541685
83,0,0,49.97922872753173,0,0,-0.5066042226712126,79.98119835243776,0,0,3.7067746903300525,5.0011736888420595,296.472281755084
84,0,0,49.978722123309055,0,0,-0.5127074479808796,79.98097182661505,0,0,3.706785158470671,5.001187812438336,296.4722793269575
85,0,0,49.97820941586108,0,0,-0.5188106628224061,79.98074530079407,0,0,3.7067956263074264,5.001201935624628,296.4722768697917
86,0,0,49.97769060519827,0,0,-0.5249138671960957,79.98051877497507,0,0,3.7068060938403007,5.001216058400961,296.4722743835862
87,0,0,49.97716569133107,0,0,-0.5310170611022526,79.98029224915803,0,0,3.7068165610693504,5.0012301807673225,296.47227186834556
88,0,0,49.97663467426997,0,0,-0.5371202445411802,79.98006572334273,0,0,3.7068270279945112,5.001244302723747,296.4722693240642
89,0,0,49.97609755402542,0,0,-0.5432234175131829,79.97983919752963,0,0,3.7068374946158533,5.001258424270226,296.47226675074955
90,0,0,49.97555433060791,0,0,-0.5493265800185642,79.97961267171843,0,0,3.706847960933388,5.001272545406791,296.4722641484016
91,0,0,49.9750050040279,0,0,-0.5554297320576278,79.9793861459092,0,0,3.7068584269470914,5.001286666133429,296.472261517019
