t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
0,0,0,50,0,0,0.0000000000000000418105674273393,80.00000000000047,0,0,10.188300349441658,10.188300363017328
1,-0,-0,50.000644109915385,-0,-0,-0.005715289110112829,79.9380607006477,-0,-0,9.5263871826283,9.526387192121287
2,-0,-0,49.996590896281425,-0,-0,-0.05410809570356262,79.87809990306611,-0,-0,9.436431358586905,9.436431371991372
3,0,0,49.985278733353766,0,0,-0.10823250650483358,79.8184431634956,0,0,9.403286862179577,9.403286877352269
4,0,0,49.96588774578501,0,0,-0.1709636240069986,79.75921973280568,0,0,9.310217462325173,9.310217476452983
5,-0,-0,49.93662820209834,-0,-0,-0.2502430223932275,79.70078716085388,-0,-0,9.17317909240347,9.17317910438009
6,-0,-0,49.894877025027036,-0,-0,-0.34957174097669114,79.64330168149831,-0,-0,9.029153752381289,9.029153762527196
7,-0,-0,49.83784829398647,-0,-0,-0.46812169643316426,79.58672398396739,-0,-0,8.900776724300814,8.900776733495228
8,0,0,49.76303429241309,0,0,-0.6031470753700565,79.53092852164244,0,0,8.793670330874626,8.793670339892158
9,0,0,49.6683288141465,0,0,-0.7518783091996661,79.47578905142608,0,0,8.703998078445018,8.703998087667703
10,0,0,49.55196472985073,0,0,-0.9122814536893586,79.42121278112464,0,0,8.626130635638722,8.626130645060714
11,0,0,49.412410854302756,0,0,-1.0829572501195475,79.36713571044892,0,0,8.557062688841008,8.557062698221486
12,0,0,49.248314694330944,0,0,-1.2626650397907024,79.31350114449242,0,0,8.497488302754052,8.497488311796909
13,-0,-0,49.0585141205975,-0,-0,-1.449865348418333,79.2602391343846,-0,-0,8.450687017350608,8.450687025838631
14,-0,-0,48.84209832861947,-0,-0,-1.6424932464318895,79.2072563529404,-0,-0,8.420543740879324,8.420543748737035
15,-0,-0,48.5984809417857,-0,-0,-1.8380079430877927,79.15443839334661,-0,-0,8.409714670633226,8.409714677924445
16,-0,-0,48.32745022619853,-0,-0,-2.0336534223710747,79.10166151308297,-0,-0,8.4185039538265,8.418503960709279
17,-0,-0,48.02917465212613,-0,-0,-2.226815266636427,79.04880863834693,-0,-0,8.444611842127038,8.44461184879205
18,0,0,47.70415865206115,0,0,-2.415357812532402,78.99578442629264,0,0,8.483630239596561,8.483630246210824
19,0,0,47.35315782725214,0,0,-2.597855299803051,78.94252552857058,0,0,8.530009206289325,8.530009212958841
20,0,0,46.97707202393398,0,0,-2.7736732652617007,78.88900412260882,0,0,8.57817867580163,8.578178682557686
21,0,0,46.57683781186819,0,0,-2.942898520662371,78.8352246669213,0,0,8.623550220316051,8.623550227123047
22,0,0,46.1533396888648,0,0,-3.106148925322345,78.78121530466854,0,0,8.663209190068068,8.66320919684618
23,-0,-0,45.70735343187549,-0,-0,-3.2643137244233884,78.7270162051236,-0,-0,8.696207807861546,8.696207814515784
24,-0,-0,45.23952734642782,-0,-0,-3.418281069359328,78.67266738119794,-0,-0,8.723462451650754,8.723462458098496
25,-0,-0,44.750399524908076,-0,-0,-3.56870360293608,78.61819825196743,-0,-0,8.747329472080176,8.74732947827135
26,-0,-0,44.24044299414873,-0,-0,-3.7158392178943447,78.56362059345271,-0,-0,8.7709771542946,8.770977160221372
27,-0,-0,43.71012666164135,-0,-0,-3.8594862583487184,78.50892571832263,-0,-0,8.79768660746787,8.797686613163537
28,-0,-0,43.159978561604525,-0,-0,-3.9990142202974566,78.45408591106884,-0,-0,8.830205470191105,8.83020547572009
29,-0,-0,42.59063889347712,-0,-0,-4.133475353556666,78.39905944988865,-0,-0,8.870251852082871,8.870251857525222
30,0,0,42.002893229650624,0,0,-4.26177141629915,78.34379805532313,0,0,8.918229323691726,8.918229329126008
31,0,0,41.397680340636434,0,0,-4.3828440945908715,78.28825535744134,0,0,8.973174175050177,8.973174180538399
32,0,0,40.77607357828828,0,0,-4.495857251313529,78.23239496551938,0,0,9.032919625611058,9.032919631188337
33,0,0,40.13923896227015,0,0,-4.600343453881169,78.17619692161236,0,0,9.094432608668857,9.094432614339379
34,0,0,39.48837646638319,0,0,-4.6962948965429065,78.11966166550044,0,0,9.154259794853823,9.154259800593115
35,0,0,38.82465312948042,0,0,-4.784188385715726,78.0628110661035,0,0,9.209011543352807,9.209011549115372
36,-0,-0,38.14913736312364,-0,-0,-4.864943986003266,78.005686516187,-0,-0,9.255814854567689,9.25581486029806
37,-0,-0,37.46274323869975,-0,-0,-4.93982589275791,77.94834448369053,-0,-0,9.292677371273378,9.292677376918293
38,-0,-0,36.76619182133756,-0,-0,-5.010301071895461,77.89085021883933,-0,-0,9.318721518332916,9.318721523852279
39,-0,-0,36.059994105999465,-0,-0,-5.077875537748588,77.83327050313815,-0,-0,9.334268126514289,9.334268131889035
40,-0,-0,35.34445719493281,-0,-0,-5.143929575408485,77.77566638427844,-0,-0,9.34076952810752,9.340769533343172
41,-0,-0,34.61971243575062,-0,-0,-5.209571880850999,77.71808677646106,-0,-0,9.34061065025954,9.340610655385039
42,-0,-0,33.88576167595193,-0,-0,-5.275528927583023,77.66056363895918,-0,-0,9.336811131784877,9.336811136847194
43,0,0,33.142535864845065,0,0,-5.342080533699526,77.60310920687928,0,0,9.332670703594776,9.332670708650385
44,0,0,32.38995912736103,0,0,-5.409046382684062,77.54571547205286,0,0,9.331403485647133,9.33140349075198
45,0,0,31.628011213336382,0,0,-5.475821952321671,77.4883558345019,0,0,9.335804644198236,9.335804649398048
46,0,0,30.856781848481337,0,0,-5.541456667626927,77.43098859828349,0,0,9.34798579854049,9.347985803863034
47,0,0,30.076511843181997,0,0,-5.604762712471799,77.37356179555569,0,0,9.3692048935017,9.369204898952272
48,0,0,29.287617645797084,0,0,-5.664440214053303,77.31601870660987,0,0,9.39980346718426,9.399803472745221
49,0,0,28.490698110205336,0,0,-5.71920363850855,77.25830340888952,0,0,9.439250942275011,9.43925094790925
50,0,0,27.686524324834043,0,0,-5.767895168533106,77.2003657325396,0,0,9.48628327503905,9.486283280696846
51,-0,-0,26.876015183408153,-0,-0,-5.809573339876355,77.14216511304829,-0,-0,9.539113302053083,9.539113307681157
52,-0,-0,26.060202771876558,-0,-0,-5.843568900010931,77.08367299544737,-0,-0,9.59568338114571,9.595683386696866
53,-0,-0,25.24019247009947,-0,-0,-5.869504221492109,77.02487363728498,-0,-0,9.653927964792276,9.653927970234026
54,-0,-0,24.417122863086593,-0,-0,-5.887277112953352,76.96576335530801,-0,-0,9.712014664008704,9.712014669329374
55,-0,-0,23.592130142343027,-0,-0,-5.897013997923634,76.90634844054664,-0,-0,9.768536827076481,9.768536832287706
56,-0,-0,22.766320739599315,-0,-0,-5.899000724200303,76.8466421086787,-0,-0,9.82263797304633,9.822637978181445
57,-0,-0,21.94075461466565,-0,-0,-5.893601390889962,76.78666094287097,-0,-0,9.874057613515756,9.87405761862429
58,0,0,21.11644009469266,0,0,-5.8811763515787545,76.7264213170791,0,0,9.923097936303899,9.923097941443004
