t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000014,0,0,0.00000000000000001764858359552618,80.00000000000011,0,0,10.126251490130132,10.126251510862398,810.1001192104117
1,-0,-0,49.99730326338192,-0,-0,-0.0797241601058433,79.96317595566518,-0,-0,8.367124538644699,8.367124557724601,669.0618517266099
2,0,0,49.983234546577236,0,0,-0.23578903584803002,79.92982438764979,0,0,7.920076598857179,7.920076611811246,633.0503316833889
3,-0,-0,49.95350249470912,-0,-0,-0.4227392689004866,79.89788420047341,-0,-0,7.593087201684898,7.593087211765147,606.6716019643167
4,0,0,49.90552322577518,0,0,-0.6348450922537869,79.86709455538237,0,0,7.3848212197961995,7.384821228582188,589.8042146360572
5,-0,-0,49.8374649868175,-0,-0,-0.8637583978704549,79.83707668817593,-0,-0,7.199863444457557,7.199863452952018,574.8160499595524
6,-0,-0,49.74780944748956,-0,-0,-1.1091386993559516,79.80781434868638,-0,-0,7.039533881569784,7.039533888925802,561.809813121609
7,0,0,49.63526243994422,0,0,-1.3658294476044717,79.77907374042029,0,0,6.945263280302557,6.945263287426719,554.086671385891
8,-0,-0,49.49899418490411,-0,-0,-1.6303946614775862,79.75069912435386,-0,-0,6.858535528727912,6.858535535804057,546.9730033852709
9,-0,-0,49.33828829433245,-0,-0,-1.902828845391723,79.72268986917756,-0,-0,6.7783666658798625,6.778366672388924,540.3896235235113
10,0,0,49.15250399982921,0,0,-2.1810197910351032,79.6949502677043,0,0,6.733297040089624,6.733297046192677,536.6097727476232
11,0,0,48.94125402625142,0,0,-2.4622413067041014,79.66735704795433,0,0,6.706138195334491,6.706138201435537,534.260306020637
12,-0,-0,48.70429540550779,-0,-0,-2.746144125079308,79.63989431212978,-0,-0,6.673167231888083,6.673167237880544,531.4503330747347
13,-0,-0,48.44136315081515,-0,-0,-3.0330331362684015,79.61257567808973,-0,-0,6.644069258251592,6.644069263852256,528.9514666330243
14,0,0,48.152228663246525,0,0,-3.3217063971600638,79.58534683192305,0,0,6.63500144916895,6.635001454451276,528.0488915624229
15,0,0,47.8368119457432,0,0,-3.6104513388914667,79.55813052806357,0,0,6.639827921810143,6.639827927048095,528.2522964872525
16,-0,-0,47.49514159443814,-0,-0,-3.8987313151393668,79.5309025896787,-0,-0,6.643507434527882,6.643507439765377,528.3641426292432
17,-0,-0,47.12724778757235,-0,-0,-4.186821700477822,79.50367543359819,-0,-0,6.645398776626534,6.645398781661424,528.3336274637464
18,-0,-0,46.73315486016304,-0,-0,-4.474387787627765,79.47643400064577,-0,-0,6.656942157430028,6.656942162147931,529.070024021104
19,0,0,46.31296233199826,0,0,-4.760208122407247,79.44912335464647,0,0,6.683481748063353,6.683481752601703,530.9967658404136
20,0,0,45.866884573435534,0,0,-5.043174579663511,79.42169373239369,0,0,6.717865365267199,6.717865369822341,533.5442455757066
