t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.0000000000000005616423540169215,80.00000000000026,0,0,12.499998872916331,12.499998879636882,999.9999098333096
1,-0,-0,49.999581407997525,-0,-0,-0.0871781095261538,79.96173655679003,-0,-0,7.235309454572196,7.235309454529327,578.5479085133541
2,0,0,49.97950723792587,0,0,-0.33094819381372476,79.9305793818218,0,0,7.444168041008271,7.444168041732056,595.0166645334325
3,0,0,49.93788182743776,0,0,-0.5428480363535139,79.8979922862808,0,0,7.602460065121241,7.602460065617489,607.4212956398147
4,-0,-0,49.8759203164196,-0,-0,-0.7674486027802206,79.86599291972415,-0,-0,7.243230173145858,7.243230173013106,578.4877697243994
5,-0,-0,49.790787003894025,-0,-0,-1.03099235818371,79.8357670582554,-0,-0,6.858778866430299,6.858778866149602,547.5758718844144
6,-0,-0,49.679223148923874,-0,-0,-1.319754353715976,79.80669238564788,-0,-0,6.729569664599771,6.729569664596794,537.0646961105015
7,0,0,49.540038194294034,0,0,-1.6087673116143295,79.77763963979162,0,0,6.833406563152098,6.833406563441075,545.153046307335
8,0,0,49.37405093498598,0,0,-1.8827027142087747,79.74791652748902,0,0,7.0205182947120806,7.02051829504763,559.8717069464086
9,0,0,49.18284969267158,0,0,-2.140362372608659,79.71746971345028,0,0,7.160110905140693,7.160110905287169,570.7859242254983
10,-0,-0,48.967653692270424,-0,-0,-2.3894920198305707,79.68664958217391,-0,-0,7.197516211515146,7.197516211400861,573.5459522090234
11,-0,-0,48.72881171305565,-0,-0,-2.6395937270883927,79.6558852164586,-0,-0,7.145692298615233,7.145692298331735,569.1964455306272
12,-0,-0,48.46589160558581,-0,-0,-2.8970909269886365,79.62546621312761,-0,-0,7.050191103697403,7.050191103407596,561.3747535235505
13,-0,-0,48.17806600406016,-0,-0,-3.163893600597263,79.59547828010044,-0,-0,6.956005606713291,6.956005606549836,553.6665931854046
14,0,0,47.86450449637419,0,0,-3.4384613758431413,79.56585153078657,0,0,6.88910600666731,6.889106006673847,548.1375857063412
15,0,0,47.52460605994042,0,0,-3.7178549483900416,79.53645317582608,0,0,6.853556973106151,6.853556973234841,545.1076132793138
16,0,0,47.15804155808895,0,0,-3.9995206915021506,79.50716799012122,0,0,6.8388895227553155,6.838889522905273,543.7407381515868
17,0,0,46.764667615434554,0,0,-4.282159391104689,79.47793737953383,0,0,6.830940045343542,6.830940045413206,542.909025167164
18,0,0,46.34440562969016,0,0,-4.56562202398826,79.44875458678278,0,0,6.820805442386332,6.820805442315458,541.904497676344
19,-0,-0,45.897164660780575,-0,-0,-4.85016466083789,79.4196310842625,-0,-0,6.809140842633413,6.809140842421143,540.77945372273
20,-0,-0,45.422846790419825,-0,-0,-5.135536274497336,79.39055552841167,-0,-0,6.805500883757084,6.805500883454645,540.2924958105715
21,-0,-0,44.921430102471575,-0,-0,-5.420313211388371,79.36146389019474,-0,-0,6.824130972220877,6.824130971906751,541.5730237338666
22,-0,-0,44.39309295144256,-0,-0,-5.701717584863454,79.33223139267207,-0,-0,6.878361500636412,6.878361500385782,545.6757661709349
23,-0,-0,43.83833050232541,-0,-0,-5.975950802944809,79.30268760311156,-0,-0,6.975672234208416,6.97567223406805,553.1895560111293
24,0,0,43.25802008510304,0,0,-6.238904066491005,79.27264841945208,0,0,7.114861463332452,7.1148614633082525,564.0139113358618
25,0,0,42.65341024577853,0,0,-6.48701161146176,79.24195439583909,0,0,7.285894835906718,7.285894835965796,577.3485463197997
26,0,0,42.026031940095,0,0,-6.717997783210858,79.21050422013113,0,0,7.472193799054793,7.4721937991393075,591.8762384536673
27,0,0,41.377551887983024,0,0,-6.931322048833972,79.178274564762,0,0,7.654535116718536,7.6545351167655555,606.0728831371529
28,0,0,40.70960243670051,0,0,-7.128220584811808,79.14532179841935,0,0,7.815453270171235,7.815453270132017,618.5565640682113
29,-0,-0,40.02362684021876,-0,-0,-7.311349405119482,79.11176583022504,-0,-0,7.943062044630854,7.943062044484105,628.3896644497846
30,-0,-0,39.32077382147355,-0,-0,-7.484126014310733,79.07776048499049,-0,-0,8.033473591205215,8.03347359096133,635.2691005078225
31,-0,-0,38.601862931030546,-0,-0,-7.649926308133547,79.04345747140653,-0,-0,8.091392983026784,8.091392982722867,639.5716771383148
32,-0,-0,37.86742607757058,-0,-0,-7.81131289274601,79.0089718507782,-0,-0,8.12889779616522,8.128897795853169,642.2558571550708
33,-0,-0,37.11781450769577,-0,-0,-7.969451646472862,78.97435601833176,-0,-0,8.162784340029358,8.16278433976082,644.6506365703418
34,-0,-0,36.35334776535496,-0,-0,-8.123824103271565,78.93958698054539,-0,-0,8.211111714890885,8.21111171470335,648.1817674246042
35,0,0,35.574473994756296,0,0,-8.272277408440123,78.90456875303235,0,0,8.289672356927198,8.289672356834718,654.0930224272738
36,0,0,34.78191024712301,0,0,-8.411385734289762,78.86914866690879,0,0,8.409065968262091,8.409065968252628,663.2158740007061
37,0,0,33.97673676600067,0,0,-8.53704012410443,78.83314383511843,0,0,8.572881637733898,8.57288163777354,675.8272112289221
38,0,0,33.160429039722324,0,0,-8.645147107259904,78.79637240747932,0,0,8.777246296532113,8.7772462965746,691.6151678937131
39,0,0,32.3348235366956,0,0,-8.732304706697866,78.75868373617973,0,0,9.011728771004883,9.011728771003824,709.7518961918053
40,0,0,31.502025090169102,0,0,-8.796337349922553,78.71998216615316,0,0,9.261346983288272,9.261346983208842,729.0530693590091
41,-0,-0,30.664273722020376,-0,-0,-8.836604162799171,78.68024065257498,-0,-0,9.50925015980087,9.509250159628209,748.1900909986695
42,-0,-0,29.823794721990474,-0,-0,-8.854040651631928,78.6395024524888,-0,-0,9.739561703283833,9.73956170302625,765.914286451555
43,-0,-0,28.982657256328903,-0,-0,-8.850942929637855,78.59787133777188,-0,-0,9.939877899761626,9.939877899448046,781.2532442786264
44,-0,-0,28.142663746220492,-0,-0,-8.830547682943747,78.55549274006853,-0,-0,10.103012849750288,10.103012849422761,793.6471525713778
45,-0,-0,27.305285573518496,-0,-0,-8.796492863513041,78.51252964605601,-0,-0,10.227737949121643,10.227737948824903,803.005578942505
