t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
0,0,0,50.00000000000001,0,0,0.000000000000014322559210236678,80.00000000000416,0,0,5.137216949257817,5.1372169531915395
1,0,0,50.000000000000014,0,0,-0.2336391525370809,79.9883637029632,0,0,5.140376691808575,5.140376695287453
2,0,0,49.988318042373166,0,0,-0.4671203179466384,79.97672194290308,0,0,5.143573905562032,5.14357390731634
3,0,0,49.964962026475845,0,0,-0.7004416226685233,79.96507463785912,0,0,5.147311047838825,5.147311049384362
4,0,0,49.929939945342426,0,0,-0.9335760702765686,79.95342056837745,0,0,5.151276231201251,5.151276232778545
5,0,0,49.88326114182861,0,0,-1.1665122587164931,79.94175922171273,0,0,5.15491985967367,5.1549198613206295
6,0,0,49.82493552889279,0,0,-1.3992662657327968,79.93009132931383,0,0,5.158561182271565,5.15856118415726
7,0,0,49.75497221560617,0,0,-1.631838206619206,79.91841689976134,0,0,5.1628301723925505,5.16283017501718
8,0,0,49.67338030527521,0,0,-1.8641966979995663,79.90673451624251,0,0,5.16769761909735,5.1676976225787
9,0,0,49.58017047037524,0,0,-2.096311817044686,79.89504282886135,0,0,5.172837682405805,5.1728376858474645
10,0,0,49.475354879523024,0,0,-2.3281699329243843,79.88334122555608,0,0,5.178097064147574,5.178097067039415
11,0,0,49.358946382876795,0,0,-2.559765079716994,79.87162944133271,0,0,5.183478271548473,5.183478274137251
12,0,0,49.23095812889096,0,0,-2.7910911661395588,79.8599072056871,0,0,5.188953114634422,5.188953117156764
13,0,0,49.09140357058399,0,0,-3.0221435104078265,79.84817431201789,0,0,5.194470476850111,5.194470479280366
14,0,0,48.94029639506361,0,0,-3.2529199865653102,79.83643066940863,0,0,5.200005197193961,5.200005199428731
15,0,0,48.777650395735364,0,0,-3.4834197267056015,79.82467624387492,0,0,5.205555463997426,5.205555465989602
16,0,0,48.60347940940009,0,0,-3.7136419535057197,79.81291100555397,0,0,5.211133756966807,5.211133758753814
17,0,0,48.417797311724804,0,0,-3.943585265657369,79.80113489640833,0,0,5.216770622387408,5.21677062407066
18,0,0,48.22061804844194,0,0,-4.173246734537989,79.78934778942951,0,0,5.2225319157607855,5.222531917459712
19,0,0,48.01195571171505,0,0,-4.40262013874994,79.77754940892561,0,0,5.228532762292433,5.22853276409106
20,0,0,47.79182470477756,0,0,-4.631693500635309,79.76573921935073,0,0,5.234922762572537,5.234922764481468
21,0,0,47.560240029745806,0,0,-4.860447362506673,79.75391634764264,0,0,5.2418410530715525,5.241841055025633
22,0,0,47.31721766162049,0,0,-5.088855309853086,79.7420796071022,0,0,5.249375216326914,5.249375218226772
23,0,0,47.06277489612784,0,0,-5.316886549036732,79.73022761401613,0,0,5.257550754733591,5.257550756506914
24,0,0,46.79693056867601,0,0,-5.544509011300043,79.71835892793997,0,0,5.266343425219453,5.266343426853679
25,0,0,46.51970511811103,0,0,-5.771691840039063,79.7064721640169,0,0,5.275701651038282,5.275701652563748
26,0,0,46.23112052610907,0,0,-5.998406757487141,79.69456605462037,0,0,5.285572654677901,5.285572656128933
27,0,0,45.931200188234726,0,0,-6.224628124753237,79.68263945198166,0,0,5.29592219597922,5.295922197371819
28,0,0,45.619968781997066,0,0,-6.450332014954269,79.67069128628373,0,0,5.306741024716178,5.30674102605044
29,0,0,45.29745218124937,0,0,-6.675494963718453,79.65872050923734,0,0,5.3180420150362995,5.318042016308011
30,0,0,44.96367743306345,0,0,-6.900092862966631,79.64672604417501,0,0,5.329854832037165,5.329854833246675
31,0,0,44.61867278991514,0,0,-7.124100121364766,79.63470674821036,0,0,5.342222999796006,5.342223000951163
32,0,0,44.2624677838469,0,0,-7.347488971374959,79.62266138105258,0,0,5.355208725824051,5.355208726938545
33,0,0,43.89509333527816,0,0,-7.570228535083751,79.61058856295597,0,0,5.368909594172758,5.368909595262096
34,0,0,43.516581908523975,0,0,-7.792283055375107,79.59848669510697,0,0,5.383482097515466,5.383482098592461
35,0,0,43.12696775575524,0,0,-8.013608950499327,79.5863538270379,0,0,5.399155538137434,5.39915553920922
36,0,0,42.726287308230276,0,0,-8.23415117359245,79.57418749285081,0,0,5.416222957721431,5.416222958788828
37,0,0,42.31457974955066,0,0,-8.453840025706373,79.5619845680194,0,0,5.435015207243281,5.435015208302616
38,0,0,41.891887748265354,0,0,-8.672589265344204,79.54974118474709,0,0,5.4558771532020645,5.455877154248301
39,0,0,41.45825828499815,0,0,-8.890295407684095,79.53745270099118,0,0,5.47915626701227,5.4791562680413275
40,0,0,41.01374351461396,0,0,-9.106837594333477,79.5251136952209,0,0,5.505200099487297,5.505200100496961
41,0,0,40.558401634897294,0,0,-9.32207758935911,79.51271796687422,0,0,5.5343606161324805,5.534360617122159
42,0,0,40.09229775542934,0,0,-9.53585955855248,79.50025852706551,0,0,5.567015671599848,5.56701567256966
43,0,0,39.61550477750173,0,0,-9.748008774972483,79.48772754099737,0,0,5.603617955454399,5.603617956404345
44,0,0,39.12810433875312,0,0,-9.95832787719976,79.47511616027562,0,0,5.644764099329465,5.644764100259154
45,0,0,38.63018794489313,0,0,-10.166589672233282,79.46241419992805,0,0,5.691274349359349,5.691274350268373
46,0,0,38.121858461281484,0,0,-10.372525954765312,79.44960963651603,0,0,5.744308654885766,5.744308655774583
47,0,0,37.60323216354322,0,0,-10.57581052202102,79.43668784565907,0,0,5.80554863908635,5.805548639956984
48,0,0,37.074441637442185,0,0,-10.7760330900667,79.4236304311391,0,0,5.877440333261345,5.8774403341173445
49,0,0,36.53563998293885,0,0,-10.97266107340363,79.41041350943287,0,0,5.963543115365088,5.963543116210619
50,0,0,35.98700692926868,0,0,-11.164983917635373,79.3970052116885,0,0,6.069118087171015,6.069118088009671
51,0,0,35.428757733386924,0,0,-11.352028013276822,79.38336186596402,0,0,6.202083151555765,6.2020831523899345
52,0,0,34.861156332723084,0,0,-11.532423855699031,79.36942203750836,0,0,6.374464886735704,6.37446488756658
53,0,0,34.28453513993814,0,0,-11.704200611362245,79.35509731397781,0,0,6.60412492220418,6.60412492303216
54,0,0,33.699325109370044,0,0,-11.864494365252034,79.34025922421777,0,0,6.916626488156082,6.9166264889812865
55,0,0,33.106100391107454,0,0,-12.009163040844228,79.32472198319455,0,0,7.35284197247323,7.352841973295702
56,0,0,32.505642239065246,0,0,-12.132020942220567,79.30820818119552,0,0,7.969405441518014,7.969405442337806
57,0,0,31.89904119195423,0,0,-12.224050670144665,79.29031351706954,0,0,8.747869889184717,8.747869890001835
58,0,0,31.287838658447008,0,0,-12.277157175685428,79.27067552162475,0,0,9.525770740801692,9.525770741616277
59,0,0,30.673980799662743,0,0,-12.291368638645343,79.2492967569775,0,0,10.163471641372235,10.163471642184547
60,0,0,30.05941236773048,0,0,-12.273695056576733,79.226493152588,0,0,10.63953834309317,10.639538343903487
61,0,0,29.445727614901653,0,0,-12.232218139422075,79.20262843545058,0,0,10.987809914551166,10.98780991535975
62,0,0,28.834116707930566,0,0,-12.173327643694517,79.1779900829167,0,0,11.245764530074835,11.245764530882
63,0,0,28.225450325745836,0,0,-12.101539417190775,79.15278124617087,0,0,11.441291405746355,11.441291406552416
64,0,0,27.620373354886315,0,0,-12.019974846903459,79.12714234717996,0,0,11.593263529927789,11.593263530733333
65,0,0,27.01937461254115,0,0,-11.93081167040707,79.10117136346005,0,0,11.71427030259247,11.71427030339823
66,0,0,26.4228340290208,0,0,-11.835598155277449,79.07493796099529,0,0,11.812805770805905,11.812805771612801
67,0,0,25.831054121256933,0,0,-11.735457866737155,79.04849270450143,0,0,11.894702982291626,11.894702983100466
68,0,0,25.244281227920084,0,0,-11.631222717622576,79.02187304155954,0,0,11.964035583481987,11.96403558429364
