t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999974,0,0,-0.0000000000005648390196869067,79.99999999970112,0,0,3.70590678348045,5.000001644819612,296.47254267732836
1,0,0,49.99999999999947,0,0,-0.003052046609389321,79.99988673633482,0,0,3.7059120307164735,5.000008724107173,296.4725427121384
2,0,0,49.99999847397564,0,0,-0.006104090594595658,79.99977347296864,0,0,3.7059172779508254,5.000015803392346,296.4725427456266
3,0,0,49.99999542192992,0,0,-0.009156131956184685,79.9996602096024,0,0,3.705922525183528,5.000022882675143,296.47254277779393
4,0,0,49.99999084386258,0,0,-0.01220817069415723,79.99954694623612,0,0,3.7059277724145856,5.0000299619555655,296.4725428086409
5,0,0,49.999984739778974,0,0,-0.015260206808514108,79.99943368286985,0,0,3.705933019643983,5.000037041233625,296.4725428381664
6,0,0,49.99997710967242,0,0,-0.01831224029925616,79.99932041950358,0,0,3.705938266871739,5.000044120509291,296.472542866372
7,0,0,49.999967953554936,0,0,-0.0213642711663842,79.99920715613727,0,0,3.705943514097817,5.000051199782602,296.4725428932546
8,0,0,49.999957271416285,0,0,-0.02441629940989906,79.99909389277111,0,0,3.7059487613222415,5.00005827905351,296.4725429188168
9,0,0,49.999945063265294,0,0,-0.02746832502980158,79.99898062940481,0,0,3.7059540085450067,5.000065358322046,296.4725429430571
10,0,0,49.99993132910616,0,0,-0.030520348026092586,79.99886736603843,0,0,3.705959255766149,5.000072437588229,296.4725429659786
11,0,0,49.99991606892761,0,0,-0.03357236839877289,79.99875410267202,0,0,3.7059645029855983,5.00007951685201,296.47254298757605
12,0,0,49.99989928274285,0,0,-0.03662438614784333,79.99864083930584,0,0,3.7059697502033684,5.000086596113427,296.47254300785124
13,0,0,49.999880970553455,0,0,-0.03967640127330475,79.99852757593942,0,0,3.7059749974195184,5.0000936753724545,296.4725430268074
14,0,0,49.99986113234799,0,0,-0.04272841377515796,79.998414312573,0,0,3.7059802446340115,5.000100754629117,296.4725430444423
15,0,0,49.999839768144206,0,0,-0.045780423653403804,79.99830104920673,0,0,3.7059854918468362,5.0001078338833835,296.4725430607557
16,0,0,49.99981687792967,0,0,-0.04883243090804309,79.99818778584023,0,0,3.705990739058008,5.000114913135289,296.47254307574735
17,0,0,49.99979246171642,0,0,-0.05188443553907666,79.9980745224738,0,0,3.7059959862674705,5.000121992384807,296.4725430894139
18,0,0,49.999766519493456,0,0,-0.054936437546505366,79.99796125910729,0,0,3.7060012334753893,5.000129071631946,296.472543101768
19,0,0,49.99973905127829,0,0,-0.05798843693032998,79.99784799574091,0,0,3.7060064806815247,5.000136150876703,296.47254311279136
20,0,0,49.99971005705517,0,0,-0.06104043369055139,79.99773473237461,0,0,3.7060117278860973,5.000143230119059,296.4725431225013
21,0,0,49.99967953684441,0,0,-0.06409242782717038,79.99762146900824,0,0,3.7060169750890015,5.000150309359055,296.4725431308889
22,0,0,49.99964749062424,0,0,-0.06714441934018779,79.9975082056418,0,0,3.706022222290182,5.000157388596657,296.4725431379497
23,0,0,49.99961391841418,0,0,-0.07019640822960448,79.9973949422754,0,0,3.7060274694897384,5.000164467831892,296.4725431436921
24,0,0,49.999578820209145,0,0,-0.07324839449542125,79.99728167890895,0,0,3.7060327166876084,5.00017154706473,296.4725431481108
25,0,0,49.99954219601621,0,0,-0.07630037813763894,79.99716841554272,0,0,3.7060379638838503,5.000178626295173,296.47254315121137
26,0,0,49.99950404582331,0,0,-0.0793523591562584,79.99705515217626,0,0,3.706043211078444,5.000185705523253,296.4725431529907
27,0,0,49.99946436964536,0,0,-0.08240433755128043,79.99694188880994,0,0,3.7060484582713107,5.0001927847489345,296.4725431534437
28,0,0,49.999423167473914,0,0,-0.08545631332270587,79.99682862544363,0,0,3.7060537054625606,5.000199863972244,296.4725431525788
29,0,0,49.99938043931643,0,0,-0.08850828647053557,79.99671536207724,0,0,3.70605895265216,5.000206943193164,296.47254315039294
30,0,0,49.99933618517529,0,0,-0.09156025699477034,79.9966020987108,0,0,3.7060641998400774,5.000214022411699,296.47254314688365
31,0,0,49.99929040504319,0,0,-0.094612224895411,79.99648883534448,0,0,3.7060694470263584,5.00022110162784,296.4725431420554
32,0,0,49.99924309893007,0,0,-0.09766419017245839,79.99637557197818,0,0,3.7060746942109515,5.000228180841596,296.47254313590344
33,0,0,49.999194266833904,0,0,-0.10071615282591338,79.99626230861179,0,0,3.7060799413939063,5.000235260052966,296.47254312843154
34,0,0,49.99914390876193,0,0,-0.10376811285577671,79.99614904524542,0,0,3.706085188575162,5.000242339261974,296.47254311963513
35,0,0,49.99909202469964,0,0,-0.10682007026204932,79.99603578187904,0,0,3.706090435754736,5.000249418468567,296.4725431095156
36,0,0,49.999038614665,0,0,-0.109872025044732,79.99592251851276,0,0,3.706095682932726,5.000256497672766,296.47254309808096
37,0,0,49.998983678656536,0,0,-0.11292397720382553,79.99580925514638,0,0,3.706100930109031,5.000263576874591,296.4725430853226
38,0,0,49.99892721666394,0,0,-0.11597592673933078,79.9956959917801,0,0,3.7061061772836164,5.000270656074028,296.4725430712384
39,0,0,49.99886922870032,0,0,-0.11902787365124863,79.99558272841375,0,0,3.7061114244565854,5.000277735271069,296.4725430558361
40,0,0,49.99880971476533,0,0,-0.12207981793957984,79.99546946504748,0,0,3.706116671627921,5.000284814465729,296.4725430391147
