t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000014,0,0,0.00000000000012411224083638427,80.00000000001738,0,0,3.7059047742172146,4.999999999769843,296.4723819374416
1,0,0,50.00000000000003,0,0,-0.0030520476126432304,79.99988673700464,0,0,3.7059100209898443,5.000007078706977,296.472381936718
2,0,0,49.999998473976234,0,0,-0.006104092602024319,79.99977347399204,0,0,3.70591526776222,5.000014157641593,296.47238193478614
3,0,0,49.99999542192993,0,0,-0.00915613496801928,79.99966021097934,0,0,3.705920514530863,5.000021236573695,296.4723819313668
4,0,0,49.99999084386247,0,0,-0.01220817471062998,79.99954694796672,0,0,3.705925761298995,5.000028315503296,296.47238192671824
5,0,0,49.99998473977513,0,0,-0.015260211829856677,79.99943368495407,0,0,3.705931008065007,5.000035394430399,296.4723819207115
6,0,0,49.999977109669224,0,0,-0.018312246325700426,79.99932042194149,0,0,3.705936254829687,5.000042473354979,296.47238191340995
7,0,0,49.99996795354607,0,0,-0.0213642781981619,79.99920715892883,0,0,3.7059415015911727,5.0000495522770745,296.47238190466396
8,0,0,49.99995727140697,0,0,-0.02441630744724269,79.9990938959163,0,0,3.705946748351871,5.000056631196635,296.472381894667
9,0,0,49.999945063253264,0,0,-0.02746833407294319,79.99898063290355,0,0,3.7059519951107087,5.000063710113691,296.4723818833319
10,0,0,49.999931329086245,0,0,-0.030520358075264334,79.99886736989093,0,0,3.7059572418668956,5.000070789028254,296.47238187059656
11,0,0,49.999916068907204,0,0,-0.03357237945420744,79.99875410687822,0,0,3.7059624886214797,5.000077867940292,296.47238185654425
12,0,0,49.99989928271749,0,0,-0.03662439820977332,79.99864084386566,0,0,3.7059677353752667,5.000084946849824,296.4723818412401
13,0,0,49.9998809705184,0,0,-0.03967641434196237,79.99852758085302,0,0,3.7059729821255885,5.0000920257568495,296.47238182447
14,0,0,49.999861132311246,0,0,-0.04272842785077632,79.99841431784037,0,0,3.7059782288751246,5.00009910466136,296.4723818064485
15,0,0,49.999839768097324,0,0,-0.04578043873621555,79.99830105482778,0,0,3.7059834756228005,5.000106183563345,296.4723817870898
16,0,0,49.99981687787797,0,0,-0.048832446998281015,79.99818779181504,0,0,3.70598872236756,5.000113262462848,296.4723817663088
17,0,0,49.99979246165448,0,0,-0.05188445263697416,79.99807452880238,0,0,3.7059939691115082,5.000120341359822,296.47238174427457
18,0,0,49.99976651942817,0,0,-0.054936455652295386,79.9979612657897,0,0,3.7059992158538715,5.000127420254288,296.472381720925
19,0,0,49.999739051200365,0,0,-0.0579884560442455,79.99784800277716,0,0,3.706004462593026,5.000134499146229,296.47238169613075
20,0,0,49.99971005697235,0,0,-0.061040453812826086,79.99773473976462,0,0,3.7060097093308477,5.000141578035644,296.47238167004133
21,0,0,49.999679536745454,0,0,-0.06409244895803784,79.99762147675207,0,0,3.7060149560681603,5.000148656922566,296.47238164272267
22,0,0,49.99964749052098,0,0,-0.06714444147988098,79.9975082137396,0,0,3.706020202801991,5.000155735806966,296.47238161393716
23,0,0,49.999613918300255,0,0,-0.07019643137835727,79.99739495072697,0,0,3.7060254495342306,5.0001628146888555,296.47238158383533
24,0,0,49.99957882008457,0,0,-0.0732484186534675,79.9972816877144,0,0,3.706030696264603,5.00016989356822,296.4723815523958
25,0,0,49.99954219587525,0,0,-0.07630040330521262,79.99716842470207,0,0,3.706035942994172,5.000176972445054,296.47238151970436
26,0,0,49.99950404567361,0,0,-0.079352385333593,79.99705516168957,0,0,3.7060411897208207,5.000184051319395,296.4723814855902
27,0,0,49.99946436948096,0,0,-0.08240436473861013,79.99694189867715,0,0,3.706046436445314,5.000191130191192,296.4723814501153
28,0,0,49.999423167298595,0,0,-0.08545634152026504,79.99682863566474,0,0,3.7060516831684973,5.000198209060493,296.47238141334714
29,0,0,49.99938043912785,0,0,-0.08850831567855845,79.99671537265225,0,0,3.7060569298898147,5.000205287927274,296.47238137524096
30,0,0,49.99933618497001,0,0,-0.09156028721349127,79.99660210963982,0,0,3.706062176608993,5.000212366791534,296.4723813357753
31,0,0,49.999290404826425,0,0,-0.09461225612506455,79.99648884662747,0,0,3.7060674233271036,5.000219445653264,296.47238129503603
32,0,0,49.99924309869837,0,0,-0.09766422241327882,79.99637558361512,0,0,3.7060726700425475,5.000226524512477,296.47238125289493
33,0,0,49.99919426658718,0,0,-0.10071618607813546,79.99626232060271,0,0,3.706077916756653,5.000233603369172,296.47238120945804
34,0,0,49.99914390849415,0,0,-0.10376814711963508,79.99614905759029,0,0,3.7060831634686378,5.000240682223366,296.4723811646629
35,0,0,49.999092024420605,0,0,-0.10682010553777878,79.99603579457795,0,0,3.7060884101779505,5.0002477610750145,296.4723811184658
36,0,0,49.99903861436784,0,0,-0.10987206133256788,79.99592253156568,0,0,3.7060936568869685,5.0002548399241284,296.4723810710569
37,0,0,49.99898367833719,0,0,-0.11292401450400252,79.99580926855334,0,0,3.7060989035930696,5.000261918770741,296.4723810222259
38,0,0,49.998927216329946,0,0,-0.1159759650520842,79.99569600554115,0,0,3.7061041502978456,5.0002689976148345,296.47238097210084
39,0,0,49.99886922834743,0,0,-0.11902791297681353,79.99558274252897,0,0,3.7061093970002026,5.00027607645639,296.4723809205938
40,0,0,49.99880971439095,0,0,-0.12207985827819176,79.99546947951657,0,0,3.706114643700703,5.000283155295433,296.472380867749
41,0,0,49.99874867446183,0,0,-0.12513180095621979,79.99535621650439,0,0,3.7061198903995884,5.000290234131944,296.4723808135873
42,0,0,49.99868610856135,0,0,-0.12818374101089844,79.9952429534923,0,0,3.706125137096597,5.00029731296593,296.4723807580872
43,0,0,49.99862201669087,0,0,-0.13123567844222864,79.99512969048006,0,0,3.7061303837914825,5.000304391797387,296.47238070122825
44,0,0,49.99855639885166,0,0,-0.13428761325021146,79.99501642746804,0,0,3.7061356304844923,5.0003114706263245,296.4723806430316
45,0,0,49.99848925504504,0,0,-0.13733954543484783,79.99490316445589,0,0,3.7061408771764177,5.000318549452727,296.47238058355913
46,0,0,49.99842058527233,0,0,-0.14039147499613833,79.99478990144367,0,0,3.7061461238659503,5.000325628276612,296.4723805227065
47,0,0,49.99835038953484,0,0,-0.14344340193408409,79.9946766384316,0,0,3.7061513705533415,5.000332707097978,296.47238046049466
48,0,0,49.99827866783389,0,0,-0.14649532624868622,79.99456337541962,0,0,3.7061566172391283,5.000339785916799,296.47238039696623
49,0,0,49.99820542017078,0,0,-0.14954724793994553,79.99445011240756,0,0,3.706161863922256,5.000346864733112,296.4723803320363
50,0,0,49.99813064654681,0,0,-0.15259916700786333,79.99433684939552,0,0,3.7061671106053438,5.000353943546873,296.4723802659148
51,0,0,49.99805434696332,0,0,-0.15565108345243966,79.9942235863835,0,0,3.7061723572849905,5.000361022358128,296.4723801983295
52,0,0,49.997976521421606,0,0,-0.1587029972736762,79.9941103233714,0,0,3.706177603962753,5.00036810116684,296.47238012940477
53,0,0,49.99789716992298,0,0,-0.16175490847157395,79.99399706035946,0,0,3.7061828506402246,5.000375179973022,296.4723800592688
54,0,0,49.99781629246875,0,0,-0.164806817046133,79.99388379734768,0,0,3.7061880973145005,5.000382258776672,296.47237998768924
55,0,0,49.99773388906024,0,0,-0.16785872299735496,79.99377053433591,0,0,3.7061933439868966,5.000389337577787,296.4723799147709
56,0,0,49.997649959698755,0,0,-0.17091062632524082,79.993657271324,0,0,3.706198590657423,5.000396416376381,296.4723798405139
57,0,0,49.9975645043856,0,0,-0.17396252702979148,79.99354400831224,0,0,3.7062038373263237,5.000403495172421,296.472379764939
58,0,0,49.99747752312209,0,0,-0.1770144251110077,79.99343074530037,0,0,3.706209083992836,5.000410573965949,296.4723796879841
59,0,0,49.997389015909555,0,0,-0.1800663205688908,79.99331748228865,0,0,3.7062143306590594,5.000417652756947,296.47237960981806
60,0,0,49.997298982749285,0,0,-0.18311821340344078,79.99320421927679,0,0,3.7062195773212836,5.000424731545407,296.47237953014314
61,0,0,49.99720742364259,0,0,-0.18617010361465974,79.99309095626502,0,0,3.7062248239829585,5.000431810331335,296.47237944923614
62,0,0,49.99711433859079,0,0,-0.1892219912025479,79.99297769325334,0,0,3.706230070642222,5.000438889114729,296.472379366948
63,0,0,49.99701972759521,0,0,-0.19227387616710653,79.99286443024174,0,0,3.7062353172998717,5.000445967895578,296.4723792833426
64,0,0,49.99692359065713,0,0,-0.19532575850833636,79.99275116723031,0,0,3.7062405639558977,5.000453046673893,296.47237919841945
65,0,0,49.996825927777884,0,0,-0.19837763822623825,79.9926379042186,0,0,3.706245810609795,5.00046012544968,296.4723791121365
66,0,0,49.99672673895879,0,0,-0.20142951532081327,79.99252464120713,0,0,3.706251057261282,5.000467204222931,296.47237902447307
67,0,0,49.996626024201134,0,0,-0.20448138979206257,79.99241137819565,0,0,3.706256303911397,5.0004742829936255,296.4723789355114
68,0,0,49.99652378350625,0,0,-0.2075332616399869,79.99229811518414,0,0,3.7062615505596628,5.00048136176181,296.47237884521314
69,0,0,49.99642001687544,0,0,-0.21058513086458716,79.9921848521728,0,0,3.7062667972062955,5.000488440527438,296.47237875359644
70,0,0,49.99631472431002,0,0,-0.21363699746586415,79.99207158916138,0,0,3.7062720438507863,5.000495519290538,296.4723786606196
71,0,0,49.996207905811296,0,0,-0.21668886144381896,79.99195832615,0,0,3.7062772904926047,5.000502598051082,296.47237856624054
