time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,q_x,q_y,q_z,q_w
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000,0.000000,1.000000
0.010000,-0.013946,-0.006892,11.125661,-0.000735,0.000607,0.000887,-0.000002120,0.000022076,-0.000044241,-0.000001,0.000002,0.000000,1.000000
0.020000,-0.001949,-0.004128,1.158314,-0.000017,0.001169,-0.000679,-0.000002235,0.000022048,-0.000044205,-0.000003,0.000005,0.000000,1.000000
0.030000,0.354957,-0.152936,9.255230,-0.001718,-0.001373,0.001200,-0.000001779,0.000022163,-0.000044421,-0.000011,-0.000004,0.000008,1.000000
0.040000,-0.357042,0.403493,9.316897,0.001252,0.002090,-0.001728,-0.000001905,0.000021966,-0.000044190,-0.000006,0.000001,0.000004,1.000000
0.050000,-0.658624,-1.150133,9.273963,-0.007822,0.006021,0.004137,-0.000001908,0.000022160,-0.000044271,-0.000045,0.000033,0.000020,1.000000
0.060000,1.109745,-0.152343,9.468241,-0.009611,-0.000419,0.007430,-0.000002053,0.000022083,-0.000044450,-0.000093,0.000027,0.000057,1.000000
0.070000,0.677769,1.139830,9.254400,-0.002164,-0.006140,0.005411,-0.000001976,0.000022040,-0.000044476,-0.000102,-0.000005,0.000081,1.000000
0.080000,1.322207,0.289822,9.668218,0.000125,-0.016329,0.005492,-0.000001962,0.000022279,-0.000044404,-0.000098,-0.000088,0.000110,1.000000
0.090000,-1.614317,-0.154585,9.145106,0.000561,-0.005433,0.002532,-0.000002054,0.000022092,-0.000044334,-0.000100,-0.000114,0.000125,1.000000
0.100000,-1.226217,0.152810,10.290518,-0.000076,0.005134,-0.000575,-0.000002218,0.000022033,-0.000044118,-0.000097,-0.000087,0.000119,1.000000
0.110000,-1.961684,-0.286182,9.920147,-0.001473,0.021593,-0.003074,-0.000002153,0.000022111,-0.000044090,-0.000105,0.000020,0.000098,1.000000
0.120000,-0.980426,0.598145,9.330630,0.002892,0.029504,-0.009777,-0.000001744,0.000021930,-0.000044370,-0.000092,0.000171,0.000045,1.000000
0.130000,1.631192,0.914859,9.130140,0.010398,0.020092,-0.011605,-0.000002252,0.000021997,-0.000044172,-0.000044,0.000270,-0.000017,1.000000
0.140000,2.428769,-0.250015,10.306997,0.008090,0.001743,-0.005647,-0.000001906,0.000022104,-0.000044326,-0.000004,0.000278,-0.000052,1.000000
0.150000,-0.918748,0.134745,9.730448,0.007872,0.008627,-0.009382,-0.000002130,0.000021807,-0.000044209,0.000041,0.000318,-0.000100,1.000000
0.160000,0.484161,-0.402398,10.429377,0.006632,0.005262,-0.007146,-0.000002006,0.000022201,-0.000044241,0.000071,0.000342,-0.000133,1.000000
0.170000,0.489801,-0.402812,10.414873,0.002286,0.001654,-0.004123,-0.000002016,0.000022054,-0.000044192,0.000084,0.000347,-0.000150,1.000000
0.180000,0.411422,-0.746991,9.313086,-0.004832,-0.002093,0.001471,-0.000001941,0.000021940,-0.000044373,0.000068,0.000337,-0.000143,1.000000
0.190000,-0.553358,-0.313233,9.296734,-0.006969,0.000658,0.001374,-0.000001927,0.000021977,-0.000044262,0.000035,0.000347,-0.000135,1.000000
0.200000,0.171874,-0.093557,9.240539,-0.007471,0.000618,0.003611,-0.000001934,0.000022136,-0.000044274,-0.000003,0.000354,-0.000122,1.000000
0.210000,0.059613,0.338115,9.350220,-0.004477,0.002384,0.001474,-0.000001955,0.000021901,-0.000044469,-0.000032,0.000359,-0.000115,1.000000
0.220000,1.022705,0.893399,9.283403,0.000676,-0.006607,-0.000631,-0.000002200,0.000022001,-0.000044325,-0.000028,0.000327,-0.000116,1.000000
0.230000,0.800057,1.303142,9.343302,0.011532,-0.013900,-0.004030,-0.000002014,0.000022070,-0.000044110,0.000027,0.000262,-0.000138,1.000000
0.240000,-0.048945,0.196936,9.365959,0.013540,-0.012451,-0.006298,-0.000001929,0.000022015,-0.000044454,0.000093,0.000198,-0.000167,1.000000
0.250000,-0.112351,-0.666157,9.318469,0.009529,-0.011906,-0.002318,-0.000001923,0.000022224,-0.000044165,0.000135,0.000137,-0.000181,1.000000
0.260000,-0.024182,-0.390622,9.513315,0.005577,-0.012262,-0.001211,-0.000001987,0.000022022,-0.000044144,0.000161,0.000078,-0.000185,1.000000
0.270000,-2.051245,0.676558,9.603932,0.010664,0.003230,-0.008161,-0.000002209,0.000021861,-0.000044139,0.000211,0.000095,-0.000230,1.000000
0.280000,-0.894585,0.917554,9.706156,0.017408,0.011336,-0.016767,-0.000002162,0.000021811,-0.000044164,0.000297,0.000154,-0.000313,1.000000
0.290000,-0.915459,2.458777,10.073463,0.035756,0.020144,-0.032112,-0.000002039,0.000022029,-0.000044311,0.000479,0.000254,-0.000472,1.000000
0.300000,0.341560,-0.809675,9.299773,0.030959,0.019258,-0.029592,-0.000002185,0.000022223,-0.000044290,0.000639,0.000349,-0.000614,1.000000
0.310000,1.731060,0.491472,9.681412,0.035473,0.007310,-0.026263,-0.000002210,0.000021985,-0.000044405,0.000817,0.000383,-0.000746,0.999999
0.320000,-0.711367,-1.668025,9.308928,0.024982,0.010953,-0.021555,-0.000001709,0.000022245,-0.000044431,0.000937,0.000442,-0.000855,0.999999
0.330000,-0.568529,-0.452304,10.391574,0.020006,0.016026,-0.020222,-0.000001876,0.000021845,-0.000044527,0.001035,0.000527,-0.000959,0.999999
0.340000,-0.137552,-1.311565,9.241664,0.009448,0.019926,-0.014912,-0.000001903,0.000021808,-0.000044171,0.001080,0.000622,-0.001031,0.999999
0.350000,0.873922,-1.187892,9.198755,-0.000655,0.013771,-0.005483,-0.000001953,0.000021977,-0.000044320,0.001077,0.000689,-0.001061,0.999999
0.360000,0.956957,0.417929,9.541311,0.001154,0.006688,-0.003981,-0.000001753,0.000022107,-0.000044620,0.001081,0.000720,-0.001082,0.999999
0.370000,-1.601629,-1.044500,9.297164,-0.007723,0.018674,-0.002554,-0.000002183,0.000021686,-0.000044262,0.001044,0.000809,-0.001095,0.999999
0.380000,1.258611,1.293142,9.833329,0.000434,0.009413,-0.005018,-0.000001854,0.000022054,-0.000044416,0.001048,0.000857,-0.001124,0.999998
0.390000,-0.777390,-2.200164,9.998973,-0.016532,0.014492,0.002391,-0.000001811,0.000021895,-0.000044296,0.000969,0.000932,-0.001115,0.999998
0.400000,-0.339290,1.112725,9.865398,-0.010301,0.017922,-0.003721,-0.000002044,0.000022028,-0.000044260,0.000923,0.001024,-0.001135,0.999998
0.410000,0.330902,1.393746,9.889777,0.001126,0.016120,-0.009251,-0.000002242,0.000022122,-0.000044250,0.000927,0.001108,-0.001186,0.999998
0.420000,-1.052038,0.551737,9.519003,0.005027,0.025063,-0.015297,-0.000001982,0.000021913,-0.000044205,0.000954,0.001232,-0.001260,0.999998
0.430000,-0.407872,0.843304,9.357560,0.011902,0.029037,-0.021580,-0.000001630,0.000022144,-0.000044370,0.001014,0.001379,-0.001363,0.999998
0.440000,1.593069,0.515501,9.403520,0.016137,0.018398,-0.020863,-0.000001956,0.000021894,-0.000044654,0.001097,0.001471,-0.001467,0.999997
0.450000,0.296033,-0.990427,9.313792,0.009878,0.015229,-0.016055,-0.000002048,0.000021897,-0.000044373,0.001144,0.001550,-0.001549,0.999997
0.460000,1.117130,0.862285,10.499727,0.015467,0.007709,-0.017663,-0.000002001,0.000021638,-0.000044323,0.001221,0.001589,-0.001634,0.999997
0.470000,1.606620,0.454714,10.234231,0.018889,-0.004820,-0.016553,-0.000002040,0.000021926,-0.000044503,0.001316,0.001567,-0.001714,0.999996
