Temperature_K,Pressure_MPa,rho_L_kgm3,h_L_kJkg,s_L_kJkgK,rho_V_kgm3,h_V_kJkg,s_V_kJkgK,Cv_V_J_gK,Cp_V_J_gK,gamma_V
182.33,0.087837,1237.4,-4.0511,-0.022017,2.6115,372.87,2.0452,0.58041,0.79507,1.369842008
182.54,0.08899,1236.7,-3.6864,-0.020023,2.6434,373,2.0435,0.58094,0.79585,1.369934933
182.75,0.090155,1236.1,-3.3217,-0.018031,2.6755,373.13,2.0418,0.58147,0.79664,1.370044886
182.97,0.091332,1235.5,-2.957,-0.016042,2.7079,373.25,2.0401,0.582,0.79743,1.370154639
183.18,0.092521,1234.9,-2.5922,-0.014055,2.7406,373.38,2.0385,0.58254,0.79823,1.370257836
183.39,0.093722,1234.2,-2.2274,-0.01207,2.7736,373.51,2.0368,0.58307,0.79903,1.370384345
183.6,0.094935,1233.6,-1.8626,-0.010087,2.807,373.64,2.0351,0.58361,0.79983,1.37048714
183.81,0.096161,1233,-1.4978,-0.0081064,2.8406,373.76,2.0334,0.58415,0.80064,1.370606865
184.03,0.0974,1232.4,-1.1329,-0.006128,2.8746,373.89,2.0317,0.58469,0.80144,1.370709265
184.24,0.098651,1231.8,-0.768,-0.0041517,2.9089,374.02,2.0301,0.58523,0.80226,1.37084565
184.45,0.099915,1231.1,-0.40307,-0.0021776,2.9435,374.14,2.0284,0.58577,0.80307,1.370964713
184.66,0.10119,1230.5,-0.038098,-0.00020571,2.9784,374.27,2.0268,0.58632,0.80389,1.371077227
184.87,0.10248,1229.9,0.32691,0.0017641,3.0136,374.39,2.0251,0.58686,0.80471,1.371212896
185.09,0.10378,1229.3,0.69194,0.0037317,3.0492,374.52,2.0235,0.58741,0.80553,1.371324969
185.3,0.1051,1228.6,1.057,0.0056973,3.0851,374.65,2.0218,0.58796,0.80636,1.37145384
185.51,0.10643,1228,1.4221,0.0076607,3.1213,374.77,2.0202,0.58851,0.80719,1.371582471
185.72,0.10777,1227.4,1.7873,0.009622,3.1578,374.9,2.0186,0.58906,0.80802,1.371710861
185.93,0.10912,1226.8,2.1524,0.011581,3.1947,375.02,2.017,0.58961,0.80886,1.371855973
186.15,0.11049,1226.1,2.5177,0.013538,3.2319,375.15,2.0153,0.59016,0.8097,1.372000813
186.36,0.11187,1225.5,2.8829,0.015493,3.2694,375.27,2.0137,0.59072,0.81054,1.372122156
186.57,0.11327,1224.9,3.2482,0.017446,3.3073,375.4,2.0121,0.59127,0.81139,1.37228339
186.78,0.11468,1224.3,3.6135,0.019397,3.3455,375.52,2.0105,0.59183,0.81224,1.372421134
186.99,0.1161,1223.6,3.9789,0.021346,3.3841,375.64,2.0089,0.59239,0.81309,1.372558618
187.21,0.11754,1223,4.3443,0.023293,3.423,375.77,2.0073,0.59295,0.81395,1.372712708
187.42,0.11899,1222.4,4.7098,0.025238,3.4623,375.89,2.0057,0.59351,0.81481,1.372866506
187.63,0.12045,1221.7,5.0753,0.02718,3.5019,376.02,2.0042,0.59407,0.81567,1.373020014
187.84,0.12193,1221.1,5.4408,0.029121,3.5418,376.14,2.0026,0.59463,0.81654,1.373190051
188.05,0.12342,1220.5,5.8064,0.03106,3.5821,376.26,2.001,0.5952,0.81741,1.373336694
188.27,0.12493,1219.9,6.172,0.032996,3.6228,376.39,1.9994,0.59576,0.81828,1.37350611
188.48,0.12645,1219.2,6.5377,0.034931,3.6638,376.51,1.9979,0.59633,0.81915,1.373652172
188.69,0.12799,1218.6,6.9034,0.036863,3.7052,376.63,1.9963,0.5969,0.82003,1.373814709
188.9,0.12954,1218,7.2692,0.038794,3.7469,376.75,1.9948,0.59747,0.82092,1.373993673
189.11,0.13111,1217.3,7.635,0.040723,3.789,376.88,1.9932,0.59804,0.8218,1.374155575
189.33,0.13269,1216.7,8.0009,0.042649,3.8315,377,1.9917,0.59861,0.82269,1.374333873
189.54,0.13428,1216.1,8.3668,0.044574,3.8743,377.12,1.9901,0.59918,0.82358,1.374511833
189.75,0.13589,1215.4,8.7328,0.046497,3.9175,377.24,1.9886,0.59976,0.82448,1.374683207
189.96,0.13752,1214.8,9.0988,0.048418,3.9611,377.36,1.987,0.60033,0.82537,1.374860493
190.17,0.13916,1214.2,9.4648,0.050336,4.005,377.48,1.9855,0.60091,0.82627,1.375031203
190.39,0.14082,1213.5,9.8309,0.052253,4.0494,377.61,1.984,0.60149,0.82718,1.375218208
190.6,0.14249,1212.9,10.197,0.054168,4.0941,377.73,1.9825,0.60206,0.82809,1.375427698
190.81,0.14417,1212.3,10.563,0.056081,4.1391,377.85,1.981,0.60264,0.829,1.375613965
191.02,0.14588,1211.6,10.93,0.057992,4.1846,377.97,1.9794,0.60322,0.82991,1.375799874
191.23,0.1476,1211,11.296,0.059902,4.2305,378.09,1.9779,0.60381,0.83083,1.375979199
191.45,0.14933,1210.4,11.662,0.061809,4.2767,378.21,1.9764,0.60439,0.83175,1.376180943
191.66,0.15108,1209.7,12.029,0.063714,4.3233,378.33,1.9749,0.60497,0.83268,1.37639883
191.87,0.15285,1209.1,12.395,0.065618,4.3704,378.45,1.9734,0.60556,0.8336,1.376577053
192.08,0.15463,1208.5,12.762,0.06752,4.4178,378.57,1.972,0.60615,0.83453,1.376771426
192.29,0.15643,1207.8,13.128,0.069419,4.4656,378.69,1.9705,0.60673,0.83547,1.377004598
192.51,0.15824,1207.2,13.495,0.071317,4.5138,378.81,1.969,0.60732,0.83641,1.377214648
192.72,0.16007,1206.5,13.862,0.073213,4.5624,378.93,1.9675,0.60791,0.83735,1.37742429
192.93,0.16192,1205.9,14.229,0.075108,4.6114,379.04,1.966,0.6085,0.83829,1.377633525
193.14,0.16378,1205.3,14.595,0.077,4.6609,379.16,1.9646,0.60909,0.83924,1.377858773
193.35,0.16566,1204.6,14.962,0.078891,4.7107,379.28,1.9631,0.60969,0.84019,1.378060982
193.57,0.16756,1204,15.329,0.080779,4.7609,379.4,1.9616,0.61028,0.84114,1.378285377
193.78,0.16947,1203.4,15.696,0.082666,4.8116,379.52,1.9602,0.61088,0.8421,1.378503143
193.99,0.17141,1202.7,16.063,0.084551,4.8626,379.64,1.9587,0.61147,0.84306,1.378743029
194.2,0.17335,1202.1,16.431,0.086435,4.9141,379.75,1.9573,0.61207,0.84402,1.378959923
194.41,0.17532,1201.4,16.798,0.088316,4.966,379.87,1.9559,0.61267,0.84499,1.379192714
194.63,0.1773,1200.8,17.165,0.090196,5.0184,379.99,1.9544,0.61327,0.84596,1.379425049
194.84,0.1793,1200.1,17.532,0.092074,5.0711,380.1,1.953,0.61387,0.84693,1.379656931
195.05,0.18132,1199.5,17.9,0.09395,5.1243,380.22,1.9515,0.61447,0.84791,1.379904633
195.26,0.18336,1198.9,18.267,0.095824,5.1779,380.34,1.9501,0.61507,0.84889,1.380151853
195.47,0.18541,1198.2,18.635,0.097697,5.2319,380.45,1.9487,0.61567,0.84987,1.38039859
195.68,0.18748,1197.6,19.002,0.099567,5.2864,380.57,1.9473,0.61628,0.85086,1.380638671
195.9,0.18957,1196.9,19.37,0.10144,5.3413,380.69,1.9459,0.61688,0.85185,1.380900661
196.11,0.19167,1196.3,19.738,0.1033,5.3967,380.8,1.9444,0.61749,0.85284,1.381139776
196.32,0.1938,1195.6,20.106,0.10517,5.4525,380.92,1.943,0.6181,0.85384,1.381394596
196.53,0.19594,1195,20.474,0.10703,5.5087,381.03,1.9416,0.6187,0.85484,1.381671246
196.74,0.1981,1194.4,20.842,0.1089,5.5654,381.15,1.9402,0.61931,0.85584,1.381925046
196.96,0.20028,1193.7,21.21,0.11076,5.6225,381.26,1.9388,0.61992,0.85685,1.382194477
197.17,0.20248,1193.1,21.578,0.11261,5.6801,381.38,1.9374,0.62053,0.85786,1.382463378
197.38,0.2047,1192.4,21.946,0.11447,5.7381,381.49,1.9361,0.62115,0.85887,1.38270949
197.59,0.20694,1191.8,22.314,0.11633,5.7966,381.61,1.9347,0.62176,0.85989,1.382993438
197.8,0.20919,1191.1,22.683,0.11818,5.8555,381.72,1.9333,0.62237,0.86091,1.383276829
198.02,0.21146,1190.5,23.051,0.12003,5.9149,381.83,1.9319,0.62299,0.86194,1.383553508
198.23,0.21376,1189.8,23.419,0.12188,5.9748,381.95,1.9305,0.6236,0.86296,1.383835792
198.44,0.21607,1189.2,23.788,0.12373,6.0351,382.06,1.9292,0.62422,0.86399,1.384111371
198.65,0.2184,1188.5,24.157,0.12558,6.0959,382.17,1.9278,0.62484,0.86503,1.384402407
198.86,0.22075,1187.9,24.525,0.12742,6.1572,382.29,1.9264,0.62546,0.86606,1.384676878
199.08,0.22312,1187.2,24.894,0.12927,6.219,382.4,1.9251,0.62607,0.86711,1.385004872
199.29,0.22551,1186.6,25.263,0.13111,6.2812,382.51,1.9237,0.62669,0.86815,1.385294165
199.5,0.22792,1185.9,25.632,0.13295,6.3439,382.62,1.9224,0.62732,0.8692,1.385576739
199.71,0.23035,1185.3,26.001,0.13479,6.4071,382.73,1.921,0.62794,0.87025,1.385880817
199.92,0.2328,1184.6,26.37,0.13662,6.4707,382.85,1.9197,0.62856,0.8713,1.386184294
200.14,0.23527,1184,26.74,0.13846,6.5349,382.96,1.9183,0.62918,0.87236,1.386503067
200.35,0.23776,1183.3,27.109,0.14029,6.5995,383.07,1.917,0.62981,0.87342,1.386799193
200.56,0.24027,1182.6,27.478,0.14213,6.6646,383.18,1.9157,0.63043,0.87449,1.387132592
200.77,0.2428,1182,27.848,0.14396,6.7303,383.29,1.9143,0.63106,0.87556,1.387443349
200.98,0.24535,1181.3,28.217,0.14579,6.7964,383.4,1.913,0.63169,0.87663,1.387753487
201.2,0.24792,1180.7,28.587,0.14761,6.863,383.51,1.9117,0.63231,0.8777,1.388084958
201.41,0.25051,1180,28.957,0.14944,6.9301,383.62,1.9104,0.63294,0.87878,1.388409644
201.62,0.25312,1179.4,29.327,0.15126,6.9977,383.73,1.909,0.63357,0.87986,1.388733684
201.83,0.25576,1178.7,29.696,0.15309,7.0659,383.84,1.9077,0.6342,0.88095,1.389072848
202.04,0.25841,1178.1,30.066,0.15491,7.1345,383.95,1.9064,0.63483,0.88204,1.389411338
202.26,0.26109,1177.4,30.437,0.15673,7.2036,384.06,1.9051,0.63546,0.88313,1.389749158
202.47,0.26378,1176.7,30.807,0.15854,7.2733,384.17,1.9038,0.6361,0.88423,1.390080176
202.68,0.2665,1176.1,31.177,0.16036,7.3435,384.27,1.9025,0.63673,0.88533,1.390432365
202.89,0.26924,1175.4,31.547,0.16218,7.4142,384.38,1.9012,0.63736,0.88643,1.390783858
203.1,0.272,1174.8,31.918,0.16399,7.4854,384.49,1.8999,0.638,0.88754,1.391128527
203.32,0.27479,1174.1,32.288,0.1658,7.5571,384.6,1.8986,0.63863,0.88865,1.391494292
203.53,0.27759,1173.4,32.659,0.16761,7.6294,384.71,1.8973,0.63927,0.88976,1.391837565
203.74,0.28042,1172.8,33.03,0.16942,7.7022,384.81,1.896,0.63991,0.89088,1.392195778
203.95,0.28327,1172.1,33.401,0.17123,7.7756,384.92,1.8948,0.64054,0.892,1.392575015
204.16,0.28614,1171.4,33.772,0.17303,7.8494,385.03,1.8935,0.64118,0.89313,1.392947378
204.38,0.28903,1170.8,34.143,0.17484,7.9239,385.13,1.8922,0.64182,0.89425,1.393303418
204.59,0.29195,1170.1,34.514,0.17664,7.9988,385.24,1.8909,0.64246,0.89539,1.39368988
204.8,0.29488,1169.5,34.885,0.17844,8.0743,385.34,1.8897,0.6431,0.89652,1.394060022
205.01,0.29784,1168.8,35.256,0.18024,8.1504,385.45,1.8884,0.64374,0.89766,1.394444962
205.22,0.30083,1168.1,35.628,0.18204,8.227,385.56,1.8871,0.64439,0.8988,1.394807492
205.44,0.30383,1167.5,35.999,0.18384,8.3041,385.66,1.8859,0.64503,0.89995,1.395206425
205.65,0.30686,1166.8,36.371,0.18563,8.3818,385.77,1.8846,0.64567,0.9011,1.395604566
205.86,0.30992,1166.1,36.743,0.18743,8.4601,385.87,1.8834,0.64632,0.90225,1.395980319
206.07,0.31299,1165.5,37.115,0.18922,8.5389,385.98,1.8821,0.64696,0.90341,1.396392358
206.28,0.31609,1164.8,37.487,0.19101,8.6183,386.08,1.8809,0.64761,0.90457,1.396782014
206.5,0.31921,1164.1,37.859,0.1928,8.6982,386.18,1.8796,0.64825,0.90574,1.397207867
206.71,0.32236,1163.4,38.231,0.19459,8.7788,386.29,1.8784,0.6489,0.90691,1.397611342
206.92,0.32553,1162.8,38.603,0.19638,8.8598,386.39,1.8772,0.64955,0.90808,1.39801401
207.13,0.32872,1162.1,38.976,0.19816,8.9415,386.49,1.8759,0.6502,0.90925,1.398415872
207.34,0.33194,1161.4,39.348,0.19995,9.0238,386.6,1.8747,0.65085,0.91043,1.398832296
207.56,0.33518,1160.8,39.721,0.20173,9.1066,386.7,1.8735,0.65149,0.91162,1.399284717
207.77,0.33844,1160.1,40.093,0.20351,9.19,386.8,1.8722,0.65215,0.9128,1.399677988
207.98,0.34173,1159.4,40.466,0.20529,9.274,386.9,1.871,0.6528,0.914,1.400122549
208.19,0.34504,1158.7,40.839,0.20707,9.3586,387,1.8698,0.65345,0.91519,1.400550922
208.4,0.34838,1158.1,41.212,0.20885,9.4438,387.11,1.8686,0.6541,0.91639,1.400993732
208.62,0.35174,1157.4,41.585,0.21062,9.5296,387.21,1.8674,0.65475,0.91759,1.401435662
208.83,0.35513,1156.7,41.959,0.2124,9.6159,387.31,1.8661,0.65541,0.9188,1.401870585
209.04,0.35854,1156,42.332,0.21417,9.7029,387.41,1.8649,0.65606,0.92001,1.402326007
209.25,0.36198,1155.4,42.706,0.21594,9.7905,387.51,1.8637,0.65671,0.92122,1.402780527
209.46,0.36544,1154.7,43.079,0.21771,9.8787,387.61,1.8625,0.65737,0.92244,1.403228015
209.68,0.36893,1154,43.453,0.21948,9.9675,387.71,1.8613,0.65802,0.92366,1.403695936
209.89,0.37244,1153.3,43.827,0.22125,10.057,387.81,1.8601,0.65868,0.92489,1.404156798
210.1,0.37598,1152.7,44.201,0.22301,10.147,387.91,1.8589,0.65934,0.92612,1.404616738
210.31,0.37954,1152,44.575,0.22478,10.238,388.01,1.8577,0.66,0.92735,1.405075758
210.52,0.38313,1151.3,44.949,0.22654,10.329,388.11,1.8566,0.66065,0.92859,1.405570272
210.74,0.38674,1150.6,45.324,0.2283,10.421,388.2,1.8554,0.66131,0.92983,1.406042552
210.95,0.39038,1149.9,45.698,0.23007,10.513,388.3,1.8542,0.66197,0.93107,1.40651389
211.16,0.39405,1149.3,46.073,0.23183,10.606,388.4,1.853,0.66263,0.93232,1.406999381
211.37,0.39774,1148.6,46.447,0.23358,10.7,388.5,1.8518,0.66329,0.93358,1.407498982
211.58,0.40146,1147.9,46.822,0.23534,10.795,388.59,1.8506,0.66395,0.93484,1.40799759
211.8,0.4052,1147.2,47.197,0.2371,10.89,388.69,1.8495,0.66461,0.9361,1.408495208
212.01,0.40897,1146.5,47.572,0.23885,10.985,388.79,1.8483,0.66528,0.93736,1.408970659
212.22,0.41277,1145.8,47.948,0.24061,11.082,388.88,1.8471,0.66594,0.93863,1.409481335
212.43,0.41659,1145.2,48.323,0.24236,11.179,388.98,1.846,0.6666,0.93991,1.410006001
212.64,0.42045,1144.5,48.698,0.24411,11.276,389.08,1.8448,0.66726,0.94118,1.410514642
212.86,0.42432,1143.8,49.074,0.24586,11.375,389.17,1.8436,0.66793,0.94247,1.411031096
213.07,0.42823,1143.1,49.45,0.24761,11.474,389.27,1.8425,0.66859,0.94375,1.411552671
213.28,0.43216,1142.4,49.826,0.24935,11.573,389.36,1.8413,0.66926,0.94504,1.412067059
213.49,0.43612,1141.7,50.202,0.2511,11.674,389.46,1.8402,0.66992,0.94634,1.412616432
213.7,0.44011,1141,50.578,0.25284,11.775,389.55,1.839,0.67059,0.94763,1.413128737
213.92,0.44412,1140.3,50.954,0.25459,11.876,389.65,1.8379,0.67126,0.94894,1.413669815
214.13,0.44816,1139.7,51.33,0.25633,11.979,389.74,1.8367,0.67192,0.95024,1.414215978
214.34,0.45223,1139,51.707,0.25807,12.082,389.83,1.8356,0.67259,0.95156,1.414769771
214.55,0.45633,1138.3,52.084,0.25981,12.185,389.93,1.8345,0.67326,0.95287,1.415307608
214.76,0.46046,1137.6,52.46,0.26155,12.29,390.02,1.8333,0.67393,0.95419,1.415859214
214.98,0.46461,1136.9,52.837,0.26329,12.395,390.11,1.8322,0.6746,0.95552,1.416424548
215.19,0.46879,1136.2,53.214,0.26502,12.501,390.2,1.831,0.67527,0.95684,1.416973951
215.4,0.473,1135.5,53.592,0.26676,12.607,390.3,1.8299,0.67594,0.95818,1.417551854
215.61,0.47724,1134.8,53.969,0.26849,12.714,390.39,1.8288,0.67661,0.95951,1.418113832
215.82,0.48151,1134.1,54.346,0.27022,12.822,390.48,1.8277,0.67728,0.96086,1.418704229
216.04,0.4858,1133.4,54.724,0.27195,12.931,390.57,1.8265,0.67795,0.9622,1.419278708
216.25,0.49013,1132.7,55.102,0.27368,13.04,390.66,1.8254,0.67862,0.96355,1.419866788
216.46,0.49448,1132,55.48,0.27541,13.15,390.75,1.8243,0.67929,0.96491,1.42046843
216.67,0.49886,1131.3,55.858,0.27714,13.261,390.84,1.8232,0.67997,0.96627,1.421047987
216.88,0.50328,1130.6,56.236,0.27887,13.372,390.93,1.8221,0.68064,0.96763,1.421647273
217.1,0.50772,1129.9,56.614,0.28059,13.484,391.02,1.821,0.68131,0.969,1.422260058
217.31,0.51219,1129.2,56.993,0.28232,13.597,391.11,1.8198,0.68199,0.97037,1.422850775
217.52,0.51669,1128.5,57.372,0.28404,13.711,391.2,1.8187,0.68266,0.97175,1.423475815
217.73,0.52122,1127.8,57.75,0.28576,13.825,391.29,1.8176,0.68334,0.97313,1.424078789
217.94,0.52578,1127.1,58.129,0.28748,13.94,391.37,1.8165,0.68401,0.97452,1.424716013
218.16,0.53037,1126.4,58.508,0.2892,14.056,391.46,1.8154,0.68469,0.97591,1.425331172
218.37,0.53499,1125.7,58.888,0.29092,14.172,391.55,1.8143,0.68536,0.97731,1.425980507
218.58,0.53964,1125,59.267,0.29264,14.29,391.64,1.8132,0.68604,0.97871,1.426607778
218.79,0.54432,1124.3,59.647,0.29436,14.408,391.72,1.8121,0.68672,0.98011,1.427233807
219,0.54903,1123.6,60.026,0.29607,14.526,391.81,1.811,0.6874,0.98152,1.427873145
219.22,0.55377,1122.9,60.406,0.29779,14.646,391.9,1.81,0.68807,0.98294,1.428546514
219.43,0.55855,1122.2,60.786,0.2995,14.766,391.98,1.8089,0.68875,0.98436,1.429197822
219.64,0.56335,1121.5,61.166,0.30121,14.887,392.07,1.8078,0.68943,0.98578,1.429847845
219.85,0.56818,1120.8,61.547,0.30292,15.009,392.15,1.8067,0.69011,0.98721,1.430511078
220.06,0.57305,1120.1,61.927,0.30463,15.132,392.24,1.8056,0.69079,0.98865,1.431187481
220.28,0.57794,1119.4,62.308,0.30634,15.255,392.32,1.8045,0.69147,0.99009,1.431862554
220.49,0.58287,1118.6,62.689,0.30805,15.38,392.41,1.8035,0.69215,0.99153,1.4325363
220.7,0.58783,1117.9,63.07,0.30976,15.505,392.49,1.8024,0.69283,0.99298,1.433223157
220.91,0.59282,1117.2,63.451,0.31146,15.63,392.57,1.8013,0.69351,0.99444,1.433923087
221.12,0.59784,1116.5,63.832,0.31317,15.757,392.66,1.8002,0.69419,0.9959,1.434621645
221.33,0.6029,1115.8,64.214,0.31487,15.884,392.74,1.7992,0.69488,0.99736,1.435298181
221.55,0.60798,1115.1,64.595,0.31658,16.012,392.82,1.7981,0.69556,0.99883,1.436008396
221.76,0.6131,1114.4,64.977,0.31828,16.141,392.91,1.797,0.69624,1.0003,1.436717224
221.97,0.61825,1113.6,65.359,0.31998,16.271,392.99,1.796,0.69692,1.0018,1.437467715
222.18,0.62344,1112.9,65.741,0.32168,16.402,393.07,1.7949,0.69761,1.0033,1.438196127
222.39,0.62865,1112.2,66.123,0.32338,16.533,393.15,1.7939,0.69829,1.0048,1.438943705
