Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
288.7,6.5,843.23,0.0011859,191.01,198.72,0.81914,0.91523,2.4954,484.94,0.61773,78.377,0.089231
288.73,6.5,843.04,0.0011862,191.08,198.79,0.81938,0.91526,2.4966,484.69,0.61883,78.342,0.089199
288.76,6.5,842.85,0.0011864,191.14,198.86,0.81962,0.91529,2.4978,484.44,0.61994,78.306,0.089168
288.78,6.5,842.67,0.0011867,191.21,198.93,0.81986,0.91532,2.499,484.19,0.62105,78.27,0.089136
288.81,6.5,842.48,0.001187,191.28,199,0.8201,0.91534,2.5002,483.94,0.62216,78.235,0.089104
288.84,6.5,842.29,0.0011872,191.35,199.06,0.82034,0.91537,2.5014,483.69,0.62327,78.199,0.089072
288.87,6.5,842.1,0.0011875,191.42,199.13,0.82058,0.9154,2.5026,483.44,0.62439,78.163,0.08904
288.89,6.5,841.92,0.0011878,191.48,199.2,0.82082,0.91543,2.5038,483.19,0.62551,78.128,0.089008
288.92,6.5,841.73,0.001188,191.55,199.27,0.82106,0.91546,2.5051,482.94,0.62663,78.092,0.088976
288.95,6.5,841.54,0.0011883,191.62,199.34,0.82131,0.91548,2.5063,482.69,0.62775,78.056,0.088945
288.98,6.5,841.35,0.0011886,191.69,199.41,0.82155,0.91551,2.5075,482.44,0.62888,78.021,0.088913
289.01,6.5,841.16,0.0011888,191.76,199.48,0.82179,0.91554,2.5087,482.19,0.63001,77.985,0.088881
289.03,6.5,840.97,0.0011891,191.82,199.55,0.82203,0.91557,2.51,481.94,0.63114,77.949,0.088849
289.06,6.5,840.78,0.0011894,191.89,199.62,0.82227,0.9156,2.5112,481.69,0.63227,77.913,0.088817
289.09,6.5,840.6,0.0011896,191.96,199.69,0.82251,0.91563,2.5124,481.44,0.6334,77.878,0.088785
289.12,6.5,840.41,0.0011899,192.03,199.76,0.82276,0.91565,2.5137,481.19,0.63454,77.842,0.088753
289.15,6.5,840.22,0.0011902,192.1,199.83,0.823,0.91568,2.5149,480.93,0.63568,77.806,0.088721
289.17,6.5,840.03,0.0011904,192.17,199.9,0.82324,0.91571,2.5162,480.68,0.63682,77.77,0.088689
289.2,6.5,839.84,0.0011907,192.23,199.97,0.82348,0.91574,2.5174,480.43,0.63797,77.735,0.088658
289.23,6.5,839.65,0.001191,192.3,200.04,0.82373,0.91577,2.5187,480.18,0.63912,77.699,0.088626
289.26,6.5,839.46,0.0011912,192.37,200.11,0.82397,0.9158,2.5199,479.93,0.64027,77.663,0.088594
