Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K)
288.7,65,76.445,0.013081,200.06,285.09,5.5209,0.75918,1.1549,360.3,0.17781,18.609,0.028413
288.73,65,76.437,0.013083,200.09,285.12,5.521,0.75917,1.1548,360.32,0.17777,18.61,0.028414
288.75,65,76.429,0.013084,200.11,285.15,5.5211,0.75917,1.1548,360.33,0.17774,18.611,0.028416
288.78,65,76.421,0.013085,200.13,285.18,5.5212,0.75917,1.1548,360.35,0.1777,18.612,0.028417
288.81,65,76.413,0.013087,200.15,285.22,5.5213,0.75916,1.1547,360.37,0.17767,18.613,0.028419
288.83,65,76.405,0.013088,200.17,285.25,5.5214,0.75916,1.1547,360.39,0.17763,18.614,0.02842
288.86,65,76.397,0.01309,200.19,285.28,5.5215,0.75916,1.1547,360.4,0.1776,18.615,0.028422
288.88,65,76.388,0.013091,200.22,285.31,5.5216,0.75915,1.1547,360.42,0.17756,18.616,0.028423
288.91,65,76.38,0.013092,200.24,285.34,5.5217,0.75915,1.1546,360.44,0.17753,18.617,0.028425
288.94,65,76.372,0.013094,200.26,285.37,5.5218,0.75915,1.1546,360.46,0.17749,18.618,0.028426
288.96,65,76.364,0.013095,200.28,285.4,5.5219,0.75914,1.1546,360.47,0.17746,18.619,0.028428
288.99,65,76.356,0.013097,200.3,285.43,5.522,0.75914,1.1545,360.49,0.17742,18.62,0.028429
289.02,65,76.348,0.013098,200.32,285.46,5.5221,0.75914,1.1545,360.51,0.17739,18.621,0.028431
289.04,65,76.34,0.013099,200.34,285.49,5.5222,0.75913,1.1545,360.53,0.17735,18.622,0.028432
289.07,65,76.332,0.013101,200.37,285.52,5.5223,0.75913,1.1545,360.54,0.17732,18.623,0.028434
289.1,65,76.324,0.013102,200.39,285.55,5.5224,0.75913,1.1544,360.56,0.17728,18.624,0.028435
289.12,65,76.316,0.013103,200.41,285.58,5.5225,0.75912,1.1544,360.58,0.17725,18.625,0.028437
289.15,65,76.308,0.013105,200.43,285.61,5.5227,0.75912,1.1544,360.6,0.17722,18.627,0.028438
289.17,65,76.3,0.013106,200.45,285.64,5.5228,0.75912,1.1543,360.61,0.17718,18.628,0.02844
289.2,65,76.292,0.013108,200.47,285.67,5.5229,0.75911,1.1543,360.63,0.17715,18.629,0.028441
289.23,65,76.284,0.013109,200.49,285.7,5.523,0.75911,1.1543,360.65,0.17711,18.63,0.028443
289.25,65,76.276,0.01311,200.52,285.73,5.5231,0.75911,1.1543,360.67,0.17708,18.631,0.028444
289.28,65,76.268,0.013112,200.54,285.76,5.5232,0.7591,1.1542,360.68,0.17704,18.632,0.028446
289.31,65,76.26,0.013113,200.56,285.79,5.5233,0.7591,1.1542,360.7,0.17701,18.633,0.028448
289.33,65,76.252,0.013114,200.58,285.82,5.5234,0.7591,1.1542,360.72,0.17697,18.634,0.028449
289.36,65,76.244,0.013116,200.6,285.85,5.5235,0.75909,1.1542,360.74,0.17694,18.635,0.028451
289.39,65,76.235,0.013117,200.62,285.89,5.5236,0.75909,1.1541,360.75,0.1769,18.636,0.028452
289.41,65,76.227,0.013119,200.64,285.92,5.5237,0.75909,1.1541,360.77,0.17687,18.637,0.028454
289.44,65,76.219,0.01312,200.67,285.95,5.5238,0.75908,1.1541,360.79,0.17683,18.638,0.028455
289.47,65,76.211,0.013121,200.69,285.98,5.5239,0.75908,1.154,360.81,0.1768,18.639,0.028457
289.49,65,76.203,0.013123,200.71,286.01,5.524,0.75908,1.154,360.82,0.17676,18.64,0.028458
289.52,65,76.195,0.013124,200.73,286.04,5.5241,0.75907,1.154,360.84,0.17673,18.641,0.02846
289.54,65,76.187,0.013126,200.75,286.07,5.5242,0.75907,1.154,360.86,0.1767,18.642,0.028461
289.57,65,76.179,0.013127,200.77,286.1,5.5243,0.75907,1.1539,360.88,0.17666,18.643,0.028463
289.6,65,76.171,0.013128,200.79,286.13,5.5244,0.75906,1.1539,360.89,0.17663,18.644,0.028464
289.62,65,76.163,0.01313,200.82,286.16,5.5245,0.75906,1.1539,360.91,0.17659,18.645,0.028466
289.65,65,76.155,0.013131,200.84,286.19,5.5247,0.75906,1.1538,360.93,0.17656,18.647,0.028467
289.68,65,76.147,0.013132,200.86,286.22,5.5248,0.75905,1.1538,360.94,0.17652,18.648,0.028469
289.7,65,76.139,0.013134,200.88,286.25,5.5249,0.75905,1.1538,360.96,0.17649,18.649,0.02847
289.73,65,76.131,0.013135,200.9,286.28,5.525,0.75905,1.1538,360.98,0.17645,18.65,0.028472
289.76,65,76.123,0.013137,200.92,286.31,5.5251,0.75904,1.1537,361,0.17642,18.651,0.028473
289.78,65,76.115,0.013138,200.95,286.34,5.5252,0.75904,1.1537,361.01,0.17638,18.652,0.028475
289.81,65,76.107,0.013139,200.97,286.37,5.5253,0.75904,1.1537,361.03,0.17635,18.653,0.028476
289.83,65,76.099,0.013141,200.99,286.4,5.5254,0.75903,1.1537,361.05,0.17631,18.654,0.028478
289.86,65,76.091,0.013142,201.01,286.43,5.5255,0.75903,1.1536,361.07,0.17628,18.655,0.028479
289.89,65,76.083,0.013144,201.03,286.46,5.5256,0.75903,1.1536,361.08,0.17625,18.656,0.028481
