Iteration,Latency (ms)
0,2.358635,423.974036
1,0.520320,1921.894219
2,0.417056,2397.759533
3,0.386554,2586.960683
4,0.420375,2378.828427
5,5.269075,189.786632
6,0.425880,2348.079271
7,0.420952,2375.567761
8,0.332658,3006.090339
9,0.307385,3253.249183
10,4.173942,239.581671
11,0.462581,2161.783558
12,0.519629,1924.449944
13,0.391541,2554.010946
14,0.293681,3405.055145
15,3.321090,301.105962
16,0.258013,3875.773701
17,0.214951,4652.223065
18,0.203035,4925.259192
19,0.201361,4966.204975
20,3.935847,254.074917
21,0.206443,4843.952084
22,0.194653,5137.346971
23,0.221987,4504.768297
24,0.227981,4386.330440
25,11.114167,89.975254
26,0.501395,1994.435525
27,0.487788,2050.070932
28,0.399363,2503.987600
29,0.181601,5506.577607
30,3.006536,332.608690
31,0.408808,2446.136083
32,0.372688,2683.209548
33,0.330961,3021.504044
34,0.347600,2876.869965
35,8.298738,120.500250
36,0.765097,1307.023815
37,0.608527,1643.312458
38,0.222672,4490.910397
39,0.171310,5837.370848
40,2.411684,414.648022
41,0.189946,5264.654165
42,0.168772,5925.153461
43,0.164794,6068.182094
44,0.163062,6132.636666
45,2.310343,432.836163
46,0.176017,5681.269423
47,0.176332,5671.120387
48,0.167198,5980.932786
49,0.162442,6156.043388
50,2.224093,449.621486
51,0.174642,5725.999473
52,0.162157,6166.862978
53,0.161754,6182.227333
54,0.175984,5682.334758
55,2.273350,439.879473
56,0.293955,3401.881240
57,0.353573,2828.270258
58,0.196850,5080.010160
59,0.166375,6010.518407
60,4.079752,245.112938
61,0.274355,3644.912613
62,0.331507,3016.527554
63,0.311877,3206.392264
64,0.186913,5350.082659
65,2.438470,410.093214
66,0.205278,4871.442629
67,0.164627,6074.337745
68,0.160532,6229.287619
69,0.158216,6320.473277
70,2.235750,447.277200
71,0.213963,4673.705267
72,0.167182,5981.505186
73,0.160402,6234.336230
74,0.159926,6252.891963
75,2.231223,448.184695
76,0.185036,5404.353747
77,0.166528,6004.996157
78,0.156926,6372.430317
79,0.155765,6419.927455
80,2.201665,454.201706
81,0.181157,5520.073748
82,0.163725,6107.802718
83,0.159822,6256.960869
84,0.158715,6300.601707
85,2.277715,439.036491
86,0.186669,5357.075894
87,0.158245,6319.314986
88,0.157080,6366.182837
89,0.156212,6401.556859
90,3.506369,285.195312
91,0.452812,2208.422038
92,0.338376,2955.292338
93,0.281365,3554.102323
94,0.496067,2015.856729
95,3.390408,294.949752
96,0.244486,4090.213755
97,0.184343,5424.670316
98,0.185755,5383.435170
99,0.165046,6058.916908
100,2.226124,449.211275
101,0.180576,5537.834485
102,0.170075,5879.758930
103,0.174628,5726.458529
