Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
0,-0.000044,0.000371,-0.000001,-0.000216,0.001836,-0.000006,0.000006,0.199999,-0.000001,0.000031,-0.000005,-0.000003,7.002829,0.000000,0.000000
1,-0.000117,0.000997,-0.000003,-0.000788,0.006708,-0.000019,0.000010,0.200004,-0.000002,0.000077,0.000014,-0.000013,7.002830,0.000000,0.000000
2,-0.000212,0.001805,-0.000005,-0.001601,0.013620,-0.000037,0.000010,0.200004,-0.000004,0.000095,0.000039,-0.000029,7.002830,0.000000,0.000000
3,-0.000323,0.002749,-0.000007,-0.002578,0.021937,-0.000059,0.000009,0.199996,-0.000009,0.000091,0.000000,-0.000060,7.002831,0.000000,0.000000
4,-0.000446,0.003793,-0.000009,-0.003670,0.031230,-0.000075,0.000008,0.199992,-0.000007,0.000081,-0.000059,-0.000073,7.002831,0.000000,0.000000
5,-0.000578,0.004914,-0.000007,-0.004842,0.041199,-0.000076,0.000003,0.199988,-0.000001,0.000053,-0.000097,-0.000037,7.002831,0.000059,0.000001
6,-0.000716,0.006094,-0.000006,-0.006068,0.051630,-0.000065,0.000001,0.199987,-0.000005,0.000019,-0.000117,-0.000030,7.002831,0.000118,0.000003
7,-0.000860,0.007319,-0.000007,-0.007329,0.062360,-0.000060,-0.000005,0.199990,-0.000008,-0.000020,-0.000106,-0.000061,7.002831,0.000176,0.000004
8,-0.001008,0.008578,-0.000009,-0.008611,0.073271,-0.000069,-0.000005,0.199989,-0.000011,-0.000049,-0.000098,-0.000087,7.002831,0.000235,0.000007
9,-0.001159,0.009863,-0.000011,-0.009904,0.084270,-0.000087,-0.000009,0.199994,-0.000010,-0.000064,-0.000078,-0.000097,7.002830,0.000294,0.000009
10,-0.001313,0.011168,-0.000013,-0.011199,0.095286,-0.000107,-0.000015,0.199996,-0.000016,-0.000109,-0.000043,-0.000118,7.002814,0.000346,0.000352
11,-0.001467,0.012486,-0.000015,-0.012489,0.106264,-0.000126,-0.000014,0.199987,-0.000022,-0.000132,-0.000077,-0.000170,7.002809,0.000397,0.000735
12,-0.001623,0.013813,-0.000017,-0.013770,0.117162,-0.000143,-0.000012,0.199991,-0.000022,-0.000118,-0.000101,-0.000195,7.002806,0.000448,0.001157
13,-0.001780,0.015147,-0.000019,-0.015037,0.127945,-0.000158,-0.000014,0.199991,-0.000028,-0.000117,-0.000080,-0.000221,7.002802,0.000497,0.001618
14,-0.001937,0.016483,-0.000021,-0.016288,0.138587,-0.000175,-0.000015,0.199992,-0.000024,-0.000126,-0.000073,-0.000230,7.002795,0.000546,0.002117
15,-0.002094,0.017819,-0.000023,-0.017520,0.149068,-0.000192,-0.000013,0.199983,-0.000022,-0.000123,-0.000109,-0.000204,7.002765,0.000599,0.002155
16,-0.002251,0.019153,-0.000025,-0.018731,0.159372,-0.000207,-0.000014,0.199981,-0.000022,-0.000117,-0.000154,-0.000193,7.002749,0.000651,0.002193
17,-0.002407,0.020484,-0.000028,-0.019919,0.169487,-0.000226,-0.000009,0.199987,-0.000025,-0.000096,-0.000135,-0.000204,7.002746,0.000704,0.002231
18,-0.002563,0.021810,-0.000031,-0.021085,0.179403,-0.000247,-0.000010,0.199987,-0.000022,-0.000082,-0.000111,-0.000198,7.002743,0.000756,0.002269
19,-0.002718,0.023129,-0.000034,-0.022226,0.189115,-0.000274,-0.000015,0.199985,-0.000026,-0.000108,-0.000121,-0.000201,7.002740,0.000809,0.002308
