time,x,y,z,vx,vy,vz,thrust,a,b,xac,yac,zac,vxac,vyac,vzac
0,0,0,1.97392e-07,0,0,0.000197392,7.00283,0,0,-0.00436411,0.051325,0,-4.32091e-05,0.000508168,0
0.001,0,0,5.92458e-07,0,0,0.000395066,7.00303,0,0,-0.00748137,0.0879861,1.90107e-11,-0.000116205,0.00136665,1.86566e-13
0.002,0,0,1.18548e-06,0,0,0.000593022,7.00322,0,0,-0.00981935,0.115482,9.35564e-11,-0.000168144,0.00197749,1.09489e-12
0.003,0,0,1.97674e-06,0,0,0.00079126,7.00342,0,0,-0.0116378,0.136868,2.76291e-10,-0.000206609,0.00242986,3.56562e-12
0.004,0,0,2.96652e-06,0,0,0.000989779,7.00362,0,0,-0.0130926,0.153978,6.34719e-10,-0.000235932,0.00277472,8.70616e-12
0.005,0,0,4.1551e-06,0,0,0.00118858,7.00382,0,0,-0.0142829,0.167976,1.25001e-09,-0.000258774,0.00304336,1.78558e-11
0.006,0,0,5.54276e-06,0,0,0.00138766,7.00401,0,0,-0.0152748,0.179642,2.21591e-09,-0.000276859,0.00325605,3.25547e-11
0.007,0,0,7.12979e-06,0,0,0.00158703,7.00421,0,0,-0.0161142,0.189514,3.63771e-09,-0.000291353,0.00342651,5.45155e-11
0.008,0,0,8.91647e-06,0,0,0.00178667,7.00441,0,0,-0.0168336,0.197975,5.63135e-09,-0.000303075,0.00356437,8.55987e-11
0.009,0,0,1.09031e-05,0,0,0.0019866,7.0046,0,0,-0.0174572,0.205308,8.32249e-09,-0.000312615,0.00367657,1.2779e-10
0.01,0,0,1.30899e-05,0,0,0.00218681,7.0048,0,0,-0.0180028,0.211725,1.18458e-08,-0.00032041,0.00376824,1.83179e-10
0.011,0,0,1.54772e-05,0,0,0.0023873,7.005,0,0,-0.0184843,0.217387,1.6344e-08,-0.00032679,0.00384327,2.53944e-10
0.012,0,0,1.80652e-05,0,0,0.00258807,7.00519,0,0,-0.0189122,0.222421,2.19675e-08,-0.000332008,0.00390464,3.42334e-10
0.013,0,0,2.08544e-05,0,0,0.00278912,7.00539,0,0,-0.0192952,0.226924,2.88736e-08,-0.000336265,0.0039547,4.50652e-10
0.014,0,0,2.38448e-05,0,0,0.00299046,7.00559,0,0,-0.0196398,0.230978,3.72257e-08,-0.000339716,0.00399529,5.81247e-10
0.015,0,0,2.70369e-05,0,0,0.00319207,7.00579,0,0,-0.0199517,0.234645,4.71931e-08,-0.000342489,0.0040279,7.36501e-10
0.016,0,0,3.04309e-05,0,0,0.00339397,7.00598,0,0,-0.0202352,0.23798,5.89502e-08,-0.000344685,0.00405374,9.18815e-10
