Iteration,Latency (ms)
0,0.095033,10522.660549
1,0.067895,14728.625083
2,0.064561,15489.227242
3,0.059961,16677.507046
4,0.062891,15900.526307
5,0.060024,16660.002666
6,0.062045,16117.334193
7,0.056973,17552.173837
8,0.073282,13645.915777
9,0.085764,11659.903922
10,0.065200,15337.423313
11,0.063317,15793.546757
12,0.056752,17620.524387
13,0.059488,16810.112964
14,0.054666,18292.906011
15,0.056891,17577.472711
16,0.059352,16848.631891
17,0.060695,16475.821732
18,0.060922,16414.431568
19,0.057034,17533.401129
20,0.055243,18101.840957
21,0.060165,16620.959029
22,0.058288,17156.189953
23,0.055065,18160.355943
24,0.054035,18506.523550
25,0.056251,17777.461734
26,0.056943,17561.421070
27,0.056335,17750.954114
28,0.054938,18202.337180
29,0.098298,10173.146961
30,0.067053,14913.575828
31,0.064635,15471.493773
32,0.061434,16277.631279
33,0.058643,17052.333612
34,0.058050,17226.528854
35,0.173021,5779.645245
36,0.066484,15041.212923
37,0.052064,19207.129687
38,0.051062,19584.035095
39,0.048963,20423.585156
40,0.050639,19747.625348
41,0.051301,19492.797411
42,0.050122,19951.318782
43,0.059037,16938.530074
44,0.053961,18531.902670
45,0.047781,20928.821080
46,0.045308,22071.157411
47,0.047433,21082.368815
48,0.047344,21122.000676
49,0.046321,21588.480387
50,0.048037,20817.286675
51,0.072792,13737.773382
52,0.048316,20697.077573
53,0.047048,21254.888624
54,0.044476,22484.036334
55,0.045048,22198.543776
56,0.046326,21586.150326
57,0.045011,22216.791451
58,0.045874,21798.840302
59,0.039623,25237.866895
60,0.044287,22579.989613
61,0.043526,22974.773698
62,0.040852,24478.605699
63,0.050234,19906.836007
64,0.056276,17769.564290
65,0.070697,14144.871777
66,0.061041,16382.431480
67,0.057679,17337.332478
68,0.058527,17086.131187
69,0.057509,17388.582657
70,0.064005,15623.779392
71,0.060527,16521.552365
72,0.062857,15909.127066
73,0.060135,16629.250852
74,0.061415,16282.667101
75,0.123472,8099.002203
76,0.059735,16740.604336
77,0.111405,8976.257798
78,0.080475,12426.219323
79,1.130179,884.815591
80,0.785259,1273.465188
81,0.118263,8455.730025
82,0.089761,11140.695848
83,0.078411,12753.312673
84,0.100057,9994.303247
85,0.080794,12377.156720
86,0.074638,13398.001018
87,0.075481,13248.367139
88,0.323153,3094.509412
89,0.301439,3317.420772
90,0.091097,10977.309900
91,0.082967,12052.984922
92,0.071175,14049.877064
93,0.071779,13931.651319
94,0.345891,2891.084185
95,0.119713,8353.311670
96,0.089181,11213.150783
97,0.118340,8450.228156
98,0.228474,4376.865639
99,0.099761,10023.957258
100,0.206296,4847.403731
101,0.055434,18039.470361
102,0.927310,1078.388026
103,0.128255,7796.966980
104,0.096936,10316.084839
105,0.086527,11557.086227
106,0.086547,11554.415520
107,0.087720,11399.908801
108,0.086767,11525.118997
109,0.088405,11311.577399
110,0.088471,11303.138882
111,0.135091,7402.417630
112,0.121193,8251.301643
113,0.095700,10449.320794
114,0.092775,10778.765831
115,0.092035,10865.431629
116,0.092448,10816.891658
117,0.095150,10509.721492
118,0.087989,11365.056996
119,0.087711,11401.078542
120,0.084006,11903.911625
121,0.091548,10923.231529
122,0.095953,10421.768991
123,0.211335,4731.823882
124,0.102509,9755.241003
125,0.086388,11575.681808
126,0.130344,7672.006383
127,0.074886,13353.630852
128,0.069700,14347.202296
129,0.077036,12980.943974
130,0.168179,5946.045582
131,0.079134,12636.793287
132,0.077709,12868.522308
133,0.073209,13659.522736
134,0.077308,12935.271899
135,0.061407,16284.788379
136,0.059803,16721.569152
137,0.058425,17115.960633
138,0.060187,16614.883613
139,0.166679,5999.556033
140,0.064246,15565.171373
141,0.056280,17768.301350
142,0.053380,18733.608093
143,0.071284,14028.393468
144,0.089048,11229.898482
145,0.028665,34885.749171
146,0.028584,34984.606773
147,0.029605,33778.078027
148,0.030447,32843.958354
149,0.046064,21708.926711
150,0.053183,18803.000959
151,0.029387,34028.652125
152,0.028088,35602.392481
153,0.029210,34234.851078
154,0.030712,32560.562647
155,0.028219,35437.116836
156,0.025759,38821.382818
157,0.025977,38495.592255
158,0.025413,39349.939008
159,0.026514,37715.923663
160,0.026571,37635.015619
161,0.025458,39280.383377
162,0.028966,34523.234137
163,0.045834,21817.864467
164,0.045526,21965.470281
165,0.044609,22417.001054
166,0.045390,22031.284424
167,0.047249,21164.469089
168,0.056178,17800.562498
169,0.048237,20730.974148
170,0.049786,20085.967943
171,0.024464,40876.389797
172,0.026608,37582.681900
173,0.024789,40340.473597
174,0.023882,41872.539988
175,0.024209,41306.951960
176,0.030661,32614.722286
177,0.038854,25737.375817
178,0.041083,24340.968284
179,0.039392,25385.865150
180,0.040206,24871.909665
181,0.038080,26260.504202
182,0.040897,24451.671272
183,0.024031,41612.916649
184,0.022902,43664.308794
185,0.024192,41335.978836
186,0.023197,43109.022718
187,0.023413,42711.314227
188,0.023900,41841.004184
189,0.024877,40197.773043
190,0.023085,43318.171973
191,0.067891,14729.492864
192,0.045859,21805.970475
193,0.023607,42360.316855
194,0.025035,39944.078290
195,0.024440,40916.530278
196,0.022333,44776.787713
197,0.021750,45977.011494
198,0.023280,42955.326460
199,0.022124,45199.783041
200,0.022071,45308.323139
