Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
0,0.000000,0.000428,-0.000001,0.000001,0.002118,-0.000006,0.000004,-0.000001,-0.000000,0.000020,-0.000005,-0.000002,0.000000,0.000000,0.000000
1,0.000093,0.001121,-0.000003,0.000457,0.007596,-0.000019,0.000006,0.000004,-0.000002,0.000051,0.000014,-0.000013,0.000000,0.000000,0.000000
2,0.000140,0.002031,-0.000005,0.001133,0.015318,-0.000037,0.000007,0.000004,-0.000004,0.000062,0.000039,-0.000028,0.000000,0.000000,0.000000
3,0.000113,0.003069,-0.000007,0.001220,0.024567,-0.000059,0.000005,-0.000004,-0.000008,0.000056,0.000000,-0.000059,0.000000,0.000000,0.000000
4,0.000121,0.004254,-0.000009,0.001115,0.034961,-0.000075,0.000003,-0.000008,-0.000007,0.000038,-0.000059,-0.000072,0.000000,0.000000,0.000000
5,0.000175,0.005484,-0.000007,0.001397,0.046077,-0.000076,-0.000002,-0.000012,-0.000001,0.000004,-0.000097,-0.000036,0.000000,0.000000,0.000000
6,0.000268,0.006760,-0.000006,0.002076,0.057428,-0.000065,-0.000006,-0.000013,-0.000005,-0.000036,-0.000117,-0.000029,0.000000,0.000000,0.000000
7,0.000373,0.008048,-0.000007,0.002979,0.068844,-0.000060,-0.000013,-0.000010,-0.000008,-0.000086,-0.000106,-0.000059,0.000000,0.000000,0.000000
8,0.000480,0.009344,-0.000009,0.003930,0.080155,-0.000069,-0.000010,-0.000011,-0.000011,-0.000107,-0.000099,-0.000085,0.000000,0.000000,0.000000
9,0.000525,0.010662,-0.000011,0.004594,0.091412,-0.000087,-0.000012,-0.000006,-0.000010,-0.000104,-0.000078,-0.000095,0.000000,0.000000,0.000000
10,0.000525,0.012015,-0.000013,0.004758,0.102733,-0.000107,-0.000018,-0.000004,-0.000016,-0.000140,-0.000043,-0.000115,0.000000,0.000000,0.000000
11,0.000510,0.013369,-0.000015,0.004644,0.114023,-0.000126,-0.000015,-0.000013,-0.000021,-0.000150,-0.000077,-0.000166,0.000000,0.000000,0.000000
12,0.000445,0.014727,-0.000017,0.004246,0.125150,-0.000143,-0.000011,-0.000009,-0.000021,-0.000116,-0.000101,-0.000191,0.000000,0.000000,0.000000
13,0.000401,0.016073,-0.000019,0.003726,0.136056,-0.000158,-0.000009,-0.000009,-0.000027,-0.000090,-0.000080,-0.000216,0.000000,0.000000,0.000000
14,0.000363,0.017419,-0.000021,0.003331,0.146727,-0.000175,-0.000009,-0.000008,-0.000024,-0.000081,-0.000073,-0.000226,0.000000,0.000000,0.000000
15,0.000323,0.018758,-0.000023,0.002959,0.157190,-0.000192,-0.000007,-0.000017,-0.000022,-0.000069,-0.000110,-0.000200,0.000000,0.000000,0.000000
16,0.000233,0.020084,-0.000025,0.002367,0.167400,-0.000207,-0.000005,-0.000019,-0.000022,-0.000053,-0.000155,-0.000190,0.000000,0.000000,0.000000
17,0.000139,0.021396,-0.000028,0.001552,0.177332,-0.000226,-0.000001,-0.000013,-0.000025,-0.000027,-0.000136,-0.000200,0.000000,0.000000,0.000000
