time,x ang vel,y ang vel,z ang vel,x accel,y accel,z accel,x mag,y mag,z mag
0,0,-0.0047124,0,-4.62E-05,0,-1.09E-10,5.00E-05,0,0
0.001,0.005292,-0.0087381,-0.0025293,-0.00033377,-0.00013132,15.005,5.00E-05,0,-2.36E-10
0.002,0.010579,-0.01276,-0.005056,-0.00064991,-0.00039354,14.986,5.00E-05,1.26E-10,-6.73E-10
0.003,0.01586,-0.016777,-0.00758,-0.0010651,-0.00078622,14.967,5.00E-05,3.79E-10,-1.31E-09
0.004,0.021136,-0.020791,-0.010101,-0.0015791,-0.001309,14.948,5.00E-05,7.58E-10,-2.15E-09
0.005,0.026406,-0.0248,-0.01262,-0.0021916,-0.0019613,14.929,5.00E-05,1.26E-09,-3.19E-09
0.006,0.03167,-0.028805,-0.015136,-0.0029021,-0.0027428,14.91,5.00E-05,1.89E-09,-4.43E-09
0.007,0.036929,-0.032806,-0.017649,-0.0037105,-0.0036531,14.891,5.00E-05,2.65E-09,-5.87E-09
0.008,0.042182,-0.036803,-0.020159,-0.0046164,-0.0046917,14.872,5.00E-05,3.53E-09,-7.51E-09
0.009,0.04743,-0.040796,-0.022667,-0.0056195,-0.0058582,14.854,5.00E-05,4.54E-09,-9.35E-09
0.01,0.052671,-0.044785,-0.025171,-0.0067194,-0.0071521,14.835,5.00E-05,5.67E-09,-1.14E-08
0.011,0.057907,-0.048769,-0.027673,-0.0079159,-0.008573,14.816,5.00E-05,6.93E-09,-1.36E-08
0.012,0.063136,-0.052749,-0.030171,-0.0092087,-0.010121,14.797,5.00E-05,8.31E-09,-1.61E-08
0.013,0.06836,-0.056725,-0.032666,-0.010597,-0.011794,14.778,5.00E-05,9.82E-09,-1.87E-08
0.014,0.073577,-0.060697,-0.035159,-0.012082,-0.013594,14.76,5.00E-05,1.15E-08,-2.15E-08
0.015,0.078789,-0.064664,-0.037648,-0.013662,-0.015518,14.741,5.00E-05,1.32E-08,-2.46E-08
0.016,0.083994,-0.068627,-0.040134,-0.015337,-0.017568,14.722,5.00E-05,1.51E-08,-2.78E-08
0.017,0.089193,-0.072586,-0.042617,-0.017106,-0.019741,14.703,5.00E-05,1.71E-08,-3.12E-08
0.018,0.094385,-0.076541,-0.045097,-0.01897,-0.022039,14.685,5.00E-05,1.92E-08,-3.49E-08
0.019,0.099571,-0.080491,-0.047573,-0.020928,-0.024461,14.666,5.00E-05,2.15E-08,-3.87E-08
0.02,0.10475,-0.084437,-0.050046,-0.02298,-0.027005,14.648,5.00E-05,2.38E-08,-4.27E-08
0.021,0.10992,-0.088379,-0.052516,-0.025126,-0.029672,14.629,5.00E-05,2.63E-08,-4.70E-08
0.022,0.11509,-0.092316,-0.054982,-0.027365,-0.032461,14.61,5.00E-05,2.90E-08,-5.14E-08
0.023,0.12025,-0.096249,-0.057445,-0.029697,-0.035372,14.592,5.00E-05,3.17E-08,-5.60E-08
0.024,0.1254,-0.10018,-0.059904,-0.032121,-0.038404,14.573,5.00E-05,3.46E-08,-6.08E-08
0.025,0.13055,-0.1041,-0.06236,-0.034638,-0.041556,14.555,5.00E-05,3.76E-08,-6.58E-08
0.026,0.13569,-0.10802,-0.064813,-0.037247,-0.04483,14.536,5.00E-05,4.07E-08,-7.10E-08
0.027,0.14082,-0.11194,-0.067261,-0.039948,-0.048223,14.518,5.00E-05,4.39E-08,-7.64E-08
0.028,0.14595,-0.11585,-0.069706,-0.042741,-0.051735,14.499,5.00E-05,4.73E-08,-8.20E-08
0.029,0.15107,-0.11975,-0.072148,-0.045624,-0.055367,14.481,5.00E-05,5.07E-08,-8.78E-08
0.03,0.15618,-0.12366,-0.074586,-0.048599,-0.059117,14.463,5.00E-05,5.43E-08,-9.38E-08
0.031,0.16129,-0.12755,-0.07702,-0.051665,-0.062985,14.444,5.00E-05,5.80E-08,-1.00E-07
0.032,0.16638,-0.13145,-0.07945,-0.05482,-0.066971,14.426,5.00E-05,6.19E-08,-1.06E-07
0.033,0.17147,-0.13534,-0.081876,-0.058066,-0.071074,14.408,5.00E-05,6.58E-08,-1.13E-07
0.034,0.17656,-0.13922,-0.084299,-0.061402,-0.075294,14.389,5.00E-05,6.99E-08,-1.20E-07
0.035,0.18163,-0.1431,-0.086718,-0.064827,-0.07963,14.371,5.00E-05,7.41E-08,-1.27E-07
0.036,0.1867,-0.14698,-0.089132,-0.068342,-0.084081,14.353,5.00E-05,7.84E-08,-1.34E-07
0.037,0.19176,-0.15085,-0.091543,-0.071946,-0.088649,14.334,5.00E-05,8.28E-08,-1.41E-07
0.038,0.19682,-0.15471,-0.09395,-0.075638,-0.093331,14.316,5.00E-05,8.74E-08,-1.49E-07
0.039,0.20186,-0.15857,-0.096353,-0.079419,-0.098127,14.298,5.00E-05,9.20E-08,-1.57E-07
0.04,0.2069,-0.16243,-0.098751,-0.083288,-0.10304,14.28,5.00E-05,9.68E-08,-1.65E-07
0.041,0.21193,-0.16628,-0.10115,-0.087245,-0.10806,14.262,5.00E-05,1.02E-07,-1.73E-07
0.042,0.21696,-0.17013,-0.10354,-0.09129,-0.1132,14.243,5.00E-05,1.07E-07,-1.81E-07
0.043,0.22197,-0.17397,-0.10592,-0.095422,-0.11845,14.225,5.00E-05,1.12E-07,-1.90E-07
0.044,0.22698,-0.17781,-0.1083,-0.099641,-0.12381,14.207,5.00E-05,1.17E-07,-1.98E-07
0.045,0.23198,-0.18165,-0.11068,-0.10395,-0.12928,14.189,5.00E-05,1.23E-07,-2.07E-07
0.046,0.23697,-0.18547,-0.11306,-0.10834,-0.13487,14.171,5.00E-05,1.28E-07,-2.16E-07
0.047,0.24196,-0.1893,-0.11542,-0.11282,-0.14056,14.153,5.00E-05,1.34E-07,-2.26E-07
0.048,0.24693,-0.19312,-0.11779,-0.11738,-0.14637,14.135,5.00E-05,1.39E-07,-2.35E-07
0.049,0.2519,-0.19693,-0.12015,-0.12204,-0.15228,14.117,5.00E-05,1.45E-07,-2.45E-07
0.05,0.25686,-0.20074,-0.12251,-0.12677,-0.15831,14.099,5.00E-05,1.51E-07,-2.55E-07
0.051,0.26181,-0.20455,-0.12486,-0.13159,-0.16444,14.081,5.00E-05,1.57E-07,-2.65E-07
0.052,0.26676,-0.20835,-0.1272,-0.1365,-0.17068,14.063,5.00E-05,1.63E-07,-2.75E-07
0.053,0.27169,-0.21215,-0.12955,-0.14149,-0.17703,14.045,5.00E-05,1.70E-07,-2.86E-07
0.054,0.27662,-0.21594,-0.13188,-0.14657,-0.18349,14.027,5.00E-05,1.76E-07,-2.96E-07
0.055,0.28154,-0.21973,-0.13422,-0.15173,-0.19005,14.009,5.00E-05,1.83E-07,-3.07E-07
0.056,0.28645,-0.22351,-0.13655,-0.15697,-0.19672,13.991,5.00E-05,1.89E-07,-3.18E-07
0.057,0.29135,-0.22729,-0.13887,-0.1623,-0.2035,13.973,5.00E-05,1.96E-07,-3.29E-07
0.058,0.29624,-0.23106,-0.14119,-0.16771,-0.21038,13.955,5.00E-05,2.03E-07,-3.41E-07
0.059,0.30112,-0.23482,-0.1435,-0.17321,-0.21737,13.938,5.00E-05,2.10E-07,-3.52E-07
0.06,0.306,-0.23859,-0.14581,-0.17879,-0.22446,13.92,5.00E-05,2.17E-07,-3.64E-07
0.061,0.31087,-0.24235,-0.14812,-0.18445,-0.23165,13.902,5.00E-05,2.24E-07,-3.76E-07
0.062,0.31573,-0.2461,-0.15042,-0.19019,-0.23895,13.884,5.00E-05,2.31E-07,-3.88E-07
0.063,0.32057,-0.24985,-0.15271,-0.19602,-0.24635,13.866,5.00E-05,2.39E-07,-4.01E-07
0.064,0.32542,-0.25359,-0.155,-0.20192,-0.25386,13.849,5.00E-05,2.46E-07,-4.13E-07
0.065,0.33025,-0.25733,-0.15729,-0.20791,-0.26146,13.831,5.00E-05,2.54E-07,-4.26E-07
0.066,0.33507,-0.26106,-0.15957,-0.21398,-0.26917,13.813,5.00E-05,2.61E-07,-4.39E-07
0.067,0.33988,-0.26479,-0.16184,-0.22014,-0.27698,13.795,5.00E-05,2.69E-07,-4.52E-07
0.068,0.34469,-0.26851,-0.16411,-0.22637,-0.28489,13.778,5.00E-05,2.77E-07,-4.65E-07
0.069,0.34948,-0.27223,-0.16638,-0.23268,-0.2929,13.76,5.00E-05,2.85E-07,-4.79E-07
0.07,0.35427,-0.27594,-0.16864,-0.23908,-0.30101,13.742,5.00E-05,2.93E-07,-4.93E-07
0.071,0.35905,-0.27965,-0.17089,-0.24555,-0.30922,13.725,5.00E-05,3.02E-07,-5.07E-07
0.072,0.36381,-0.28336,-0.17314,-0.25211,-0.31753,13.707,5.00E-05,3.10E-07,-5.21E-07
0.073,0.36857,-0.28706,-0.17539,-0.25874,-0.32594,13.689,5.00E-05,3.18E-07,-5.35E-07
0.074,0.37332,-0.29075,-0.17763,-0.26546,-0.33444,13.672,5.00E-05,3.27E-07,-5.49E-07
0.075,0.37806,-0.29444,-0.17986,-0.27225,-0.34304,13.654,5.00E-05,3.36E-07,-5.64E-07
0.076,0.38279,-0.29812,-0.18209,-0.27912,-0.35174,13.636,5.00E-05,3.44E-07,-5.79E-07
0.077,0.38751,-0.3018,-0.18431,-0.28608,-0.36054,13.619,5.00E-05,3.53E-07,-5.94E-07
0.078,0.39222,-0.30547,-0.18653,-0.29311,-0.36943,13.601,5.00E-05,3.62E-07,-6.09E-07
0.079,0.39692,-0.30914,-0.18874,-0.30021,-0.37841,13.584,5.00E-05,3.71E-07,-6.25E-07
0.08,0.40162,-0.3128,-0.19095,-0.3074,-0.38749,13.566,5.00E-05,3.81E-07,-6.40E-07
0.081,0.4063,-0.31646,-0.19315,-0.31467,-0.39667,13.549,5.00E-05,3.90E-07,-6.56E-07
0.082,0.41097,-0.32011,-0.19535,-0.32201,-0.40594,13.531,5.00E-05,3.99E-07,-6.72E-07
0.083,0.41563,-0.32376,-0.19754,-0.32943,-0.4153,13.514,5.00E-05,4.09E-07,-6.88E-07
0.084,0.42029,-0.3274,-0.19972,-0.33693,-0.42476,13.496,5.00E-05,4.18E-07,-7.05E-07
0.085,0.42493,-0.33104,-0.2019,-0.3445,-0.4343,13.479,5.00E-05,4.28E-07,-7.21E-07
0.086,0.42956,-0.33467,-0.20407,-0.35215,-0.44394,13.461,5.00E-05,4.38E-07,-7.38E-07
0.087,0.43419,-0.3383,-0.20624,-0.35988,-0.45367,13.444,5.00E-05,4.48E-07,-7.55E-07
0.088,0.4388,-0.34192,-0.2084,-0.36768,-0.4635,13.426,5.00E-05,4.58E-07,-7.72E-07
0.089,0.4434,-0.34554,-0.21056,-0.37556,-0.47341,13.409,5.00E-05,4.68E-07,-7.89E-07
0.09,0.44799,-0.34915,-0.21271,-0.38352,-0.48341,13.391,5.00E-05,4.78E-07,-8.07E-07
0.091,0.45258,-0.35276,-0.21485,-0.39155,-0.4935,13.374,5.00E-05,4.88E-07,-8.24E-07
0.092,0.45715,-0.35636,-0.21699,-0.39966,-0.50369,13.357,5.00E-05,4.99E-07,-8.42E-07
0.093,0.46171,-0.35995,-0.21913,-0.40784,-0.51396,13.339,5.00E-05,5.09E-07,-8.60E-07
0.094,0.46626,-0.36354,-0.22125,-0.41609,-0.52431,13.322,5.00E-05,5.20E-07,-8.78E-07
