time,x ang vel,y ang vel,z ang vel,x accel,y accel,z accel,x mag,y mag,z mag

0.000000, 0.029847, 0.128350, 0.145647, -0.054262, 0.046760, 0.088032, 0.000052, 0.000000, 0.000000
0.001000, 0.027957, 0.014424, 0.142454, -0.053051, -0.041237, 15.243421, 0.000052, 0.000000, 0.000000
0.002000, 0.089853, -0.097608, 0.098962, -0.038445, -0.072722, 15.146138, 0.000052, 0.000000, -0.000000
0.003000, 0.066850, -0.067100, -0.310864, -0.043497, 0.000149, 15.178453, 0.000052, 0.000000, 0.000000
0.004000, 0.264893, 0.073878, -0.301913, 0.078589, 0.043557, 15.073523, 0.000052, 0.000000, 0.000000
0.005000, -0.224228, 0.084405, -0.152293, 0.014192, -0.010912, 15.060267, 0.000052, 0.000000, 0.000000
0.006000, 0.037126, -0.076166, 0.183599, 0.115396, -0.017669, 14.980006, 0.000052, 0.000000, 0.000000
0.007000, 0.240444, 0.111817, -0.230007, 0.162152, -0.020312, 14.994090, 0.000052, 0.000000, 0.000000
0.008000, -0.058236, -0.091109, 0.008335, -0.073578, 0.027873, 14.977020, 0.000052, 0.000000, 0.000000
0.009000, 0.044037, 0.054758, 0.013149, -0.038814, 0.049213, 15.012295, 0.000052, 0.000000, 0.000000
0.010000, 0.145092, -0.067451, 0.033573, -0.031004, -0.052420, 14.939365, 0.000052, 0.000000, 0.000000
0.011000, 0.092818, 0.034869, 0.248369, 0.078946, -0.125412, 14.986195, 0.000052, 0.000000, 0.000000
0.012000, -0.038673, 0.047166, 0.070918, -0.058976, -0.052593, 15.020176, 0.000052, 0.000000, 0.000000
0.013000, -0.103049, 0.173135, -0.077892, -0.020392, -0.088613, 15.065022, 0.000052, 0.000000, 0.000000
0.014000, 0.135492, 0.103893, -0.150740, 0.008269, 0.071178, 14.774552, 0.000052, 0.000000, -0.000000
0.015000, 0.072062, -0.163832, -0.149388, -0.016038, 0.022280, 14.863894, 0.000052, 0.000000, 0.000000
0.016000, -0.260734, 0.012385, -0.198975, -0.004083, 0.002503, 14.851738, 0.000052, 0.000000, 0.000000
0.017000, 0.055762, 0.071004, -0.004379, 0.005975, -0.110039, 14.843615, 0.000052, 0.000000, 0.000000
0.018000, 0.314735, -0.208924, -0.050035, 0.034243, -0.074850, 14.802524, 0.000052, 0.000000, 0.000000
0.019000, 0.243028, 0.016681, -0.403227, -0.180012, -0.133466, 14.775822, 0.000052, 0.000000, 0.000000
0.020000, 0.150439, -0.098999, -0.092689, -0.048567, -0.024863, 14.763151, 0.000052, 0.000000, 0.000000
0.021000, 0.114918, -0.230149, 0.161194, -0.012277, -0.104905, 14.758935, 0.000052, 0.000000, 0.000000
0.022000, 0.039692, -0.004991, -0.165314, -0.051020, -0.149546, 14.754368, 0.000052, 0.000000, 0.000000
0.023000, -0.009930, -0.169211, -0.114364, -0.124632, -0.022901, 14.859997, 0.000052, 0.000000, 0.000000
0.024000, -0.330404, 0.015608, 0.168970, -0.039809, -0.127428, 14.763766, 0.000052, 0.000000, 0.000000
0.025000, 0.133178, -0.087042, -0.025566, -0.010694, -0.029815, 14.622766, 0.000052, 0.000000, 0.000000
0.026000, 0.226738, -0.164024, -0.204396, -0.071791, -0.019344, 14.620436, 0.000052, 0.000000, 0.000000
0.027000, 0.174303, -0.101638, -0.105008, -0.080679, -0.121838, 14.623377, 0.000052, 0.000000, 0.000000
