time,x,y,z,vx,vy,vz,m,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b,R1,R2
0.000000000000000000e+00,-1.937179794525557570e-03,8.318337744024650350e-05,5.192096902334141645e-02,-1.937179794525557483e-02,8.318337744024650350e-04,5.192096902334141229e-01,9.984999999850313612e-01,1.663667331098837591e-05,3.874359590165799005e-04,-1.231257505778231721e-08,1.500000014968613371e+01,-1.291489283954189680e-02,5.545558724916542070e-04,2.213582779894982325e-04,2.368936756325214297e-04
1.000000000000000056e-01,-5.846979590087947667e-03,3.113761661350950829e-04,1.556940802834070603e-01,-3.909799795562389491e-02,2.281927886948486011e-03,1.037731112600656314e+00,9.969999999701323334e-01,6.173571525868714878e-05,1.158002575398109357e-03,-7.630704092544419916e-09,1.500000014898998657e+01,-1.276250929065042561e-02,9.487226229047342370e-04,5.119408382652452030e-04,5.219191440758879676e-04
2.000000000000000111e-01,-1.166119440234627234e-02,7.810477142504636695e-04,3.106773112432356099e-01,-5.814214812258323983e-02,4.696715481153685215e-03,1.549832309598285107e+00,9.954999999551814582e-01,1.531627752313033950e-04,2.278018938025150320e-03,1.259978000985707098e-07,1.500000014950865790e+01,-1.160217166494001764e-02,1.544098668150111885e-03,6.610462964869994341e-04,6.222491924255153664e-04
3.000000000000000444e-01,-1.932414182092934835e-02,1.599876681152012474e-03,5.156521684237834746e-01,-7.662947418583077042e-02,8.188289669015486744e-03,2.049748571805478647e+00,9.939999999402517883e-01,3.096335131644044380e-04,3.707672534187134161e-03,4.601725771384037027e-07,1.500000014929651293e+01,-1.022469084456541395e-02,2.167646060114666352e-03,7.449914390130402998e-04,7.549207257320052688e-04
4.000000000000000222e-01,-2.858480274492594675e-02,2.932202320779109510e-03,7.688692329922871549e-01,-9.260660923996599792e-02,1.332325639627096950e-02,2.532170645685036803e+00,9.924999999253736327e-01,5.592721725507390860e-04,5.362035594085323709e-03,1.134349510361427806e-06,1.500000014878145826e+01,-7.324551502793967377e-03,3.104545533560758731e-03,8.640103433123467753e-04,9.119371548975358042e-04
5.000000000000000000e-01,-3.929877983434661853e-02,1.012247452324364569e-02,1.067832421439303126e+00,-1.071397708942067317e-01,7.190272202464535745e-02,2.989631884470160816e+00,9.909999999106616775e-01,1.955878718324205977e-03,7.166956162436788347e-03,4.288702199026976462e-06,1.500000014711999263e+01,-4.853887445381520165e-03,3.823974453587254685e-02,1.535972325681403319e-03,6.069340173264522846e-04
6.000000000000000888e-01,-3.733603518234835522e-02,2.502034128090717055e-02,1.397057032149510603e+00,1.962744651998263312e-02,1.489786675766352486e-01,3.292246107102075214e+00,9.896034771099948557e-01,4.843304795569211736e-03,6.646149451380312101e-03,5.261434261879388563e-06,1.396522800666795128e+01,8.791027245152613356e-02,5.324749876798760134e-02,2.175196202056150791e-03,3.164308151461887528e-04
7.000000000000000666e-01,-1.968539215757307212e-02,2.829734107738474114e-02,1.717768462578880939e+00,1.765064302477528102e-01,3.276999796477569893e-02,3.207114304293703810e+00,9.885381252043103917e-01,5.391493779459761299e-03,3.624344000330514959e-03,-4.845937884853830646e-06,1.065351905684413758e+01,1.298263254330447869e-01,-1.107400512593438302e-01,2.755774879770291671e-03,1.423986219681243435e-04
8.000000000000000444e-01,-5.353433977213564732e-04,2.836542600236495112e-02,2.018742029377126546e+00,1.915004875985171495e-01,6.808492498020998762e-04,3.009735667982455176e+00,9.876430591549606453e-01,5.231754893007541096e-03,1.669465612612164307e-03,-7.572581563676517025e-06,8.950660493497762715e+00,-3.320216307155508806e-02,-3.974415554264790901e-02,2.701377101063350428e-03,4.010496533380841560e-04
9.000000000000000222e-01,1.465672693305865477e-02,2.590455798822668271e-02,2.289280072059217463e+00,1.519207033078001090e-01,-2.460868014138266335e-02,2.705380426820910955e+00,9.868314942111428012e-01,4.497737367841427372e-03,1.285599257659919559e-03,-5.167827656997990571e-07,8.115649438178369479e+00,-8.026098913205158281e-02,-3.528919112995480833e-02,2.222643651771702422e-03,9.564655059233514826e-04
